city,total,has_children,children_born,children_borned_live,children_borned_dead
ipuiuna,3599,2330,8091,7671,420
irai de minas,2204,1446,5114,4931,184
itabira,42126,23446,91468,85282,6186
itabirinha de mantena,4082,2510,11734,10851,882
itabirito,16100,9227,32660,31327,1333
itacambira,1705,930,5258,4875,383
itacarambi,6421,3852,19926,19158,768
itaguara,4666,2844,10160,9756,404
itaipe,3978,2149,11383,10780,602
itajuba,35697,21492,75719,72064,3655
itamarandiba,11268,6422,31522,29978,1544
itamarati de minas,1515,1011,4262,4030,232
itambacuri,9174,5494,26722,25077,1645
itambe do mato dentro,1034,556,2719,2517,202
itamogi,4315,2706,9580,9140,440
itamonte,4934,3031,10767,10086,681
itanhandu,5460,3299,11882,11102,780
itanhomi,4849,2978,13992,13188,805
itaobim,8502,5100,23527,21721,1806
itapagipe,4829,3280,11236,10466,770
itapecerica,9018,5482,20727,19882,845
itapeva,2912,1931,6673,6295,378
itatiaiucu,3282,1997,7426,7110,316
itau de minas,5619,3682,12127,11375,752
itauna,32212,19444,65684,62448,3236
itaverava,2474,1392,6613,6304,309
itinga,5337,3025,16293,15323,970
itueta,2285,1496,6070,5914,156
ituiutaba,38500,25696,86591,81623,4967
itumirim,2556,1516,6151,5871,280
iturama,11749,7817,25166,23899,1268
itutinga,1586,1027,3691,3519,172
jaboticatubas,5367,3286,15742,14593,1150
jacinto,4683,3028,14366,13451,914
jacui,2898,1869,6573,6182,391
jacutinga,7849,4936,16126,15340,786
jaguaracu,1162,652,2792,2537,255
jaiba,9791,5624,26896,25647,1249
jampruca,1759,1136,6138,5639,499
janauba,24581,14055,63859,60902,2957
januaria,24716,13953,70058,67248,2810
japaraiba,1388,800,3198,3107,91
japonvar,2903,1755,9647,9200,446
jeceaba,2507,1461,6100,5688,412
jenipapo de minas,2440,1309,7019,6760,259
jequeri,5535,3305,17046,16072,974
jequitai,3320,1955,9356,8809,547
jequitiba,1970,1149,5810,5494,316
jequitinhonha,8963,5409,25410,23742,1669
jesuania,1877,1141,4740,4473,268
joaima,5690,3519,17452,16191,1261
joanesia,2746,1590,7338,6984,354
joao monlevade,29254,16609,62763,59750,3013
joao pinheiro,15903,10157,40381,38293,2087
joaquim felicio,1536,877,3976,3773,204
jordania,3766,2376,12272,11444,828
jose goncalves de minas,1693,984,5126,4786,340
jose raydan,1460,868,4929,4559,370
josenopolis,1555,904,4516,4251,265
juatuba,6430,3892,14401,13451,950
juiz de fora,203936,122240,370697,352313,18384
juramento,1537,877,3848,3736,112
juruaia,2930,1832,7183,6791,392
juvenilia,2647,1463,8228,7595,633
ladainha,6051,3413,19698,18475,1223
lagamar,3101,2047,7921,7554,367
lagoa da prata,15931,10257,34414,32937,1478
lagoa dos patos,1668,962,4932,4473,459
lagoa dourada,4462,2490,10273,9753,520
lagoa formosa,6871,4263,16613,15672,941
lagoa grande,2828,1841,7531,6990,541
lagoa santa,15625,9278,30670,29619,1051
lajinha,7753,4628,18181,17271,910
lambari,7701,4854,17225,16221,1004
lamim,1430,753,3345,3234,111
laranjal,2667,1676,6292,5913,379
lassance,2415,1533,6881,6596,284
lavras,33942,20407,67064,63800,3264
leandro ferreira,1255,734,2985,2770,214
leme do prado,1823,1030,5085,4847,239
leopoldina,21757,13507,47978,45872,2107
liberdade,2429,1426,5924,5504,420
lima duarte,6388,3948,15688,14735,952
limeira do oeste,2409,1618,6057,5836,221
lontra,2860,1680,8647,8231,416
luisburgo,2342,1507,6014,5643,371
luislandia,2255,1315,6992,6563,428
luminarias,2119,1400,5105,4890,215
luz,6981,4395,15441,14823,618
machacalis,2704,1701,8913,8413,500
machado,14023,8729,31373,29784,1589
madre de deus de minas,1900,1153,4364,4197,167
malacacheta,7741,4722,23449,22285,1164
mamonas,2554,1547,7702,7492,210
manga,8150,4626,24985,23800,1185
manhuacu,27228,16622,63632,59813,3818
manhumirim,8195,5059,18696,17942,754
mantena,11464,7390,29307,27076,2231
mar de espanha,4486,2880,10337,9946,391
maravilhas,2480,1393,5489,5157,332
maria da fe,5508,3502,14606,13473,1133
mariana,19232,10768,42017,39707,2310
marilac,1752,1074,5577,5262,315
