city,total
sao francisco de paula,2594
sao francisco de sales,2442
sao francisco do gloria,2474
sao geraldo,3115
sao geraldo da piedade,1669
sao geraldo do baixio,1251
sao goncalo do abaete,2077
sao goncalo do para,3106
sao goncalo do rio abaixo,2694
sao goncalo do rio preto,896
sao goncalo do sapucai,8751
sao gotardo,11909
sao joao batista do gloria,2801
sao joao da lagoa,1507
sao joao da mata,1322
sao joao da ponte,8561
sao joao das missoes,3155
sao joao del rei,32299
sao joao do manhuacu,3688
sao joao do manteninha,1953
sao joao do oriente,3507
sao joao do pacui,1254
sao joao do paraiso,7532
sao joao evangelista,5118
sao joao nepomuceno,9798
sao joaquim de bicas,7237
sao jose da barra,2702
sao jose da lapa,5981
sao jose da safira,1291
sao jose da varginha,1336
sao jose do alegre,1526
sao jose do divino,1431
sao jose do goiabal,2183
sao jose do jacuri,2290
sao jose do mantimento,1008
sao lourenco,14883
sao miguel do anta,2836
sao pedro da uniao,2583
sao pedro do suacui,2079
sao pedro dos ferros,3584
sao romao,2478
sao roque de minas,2901
sao sebastiao da bela vista,1821
sao sebastiao da vargem alegre,1327
sao sebastiao do anta,1947
sao sebastiao do maranhao,4130
sao sebastiao do oeste,2002
sao sebastiao do paraiso,24516
sao sebastiao do rio preto,556
sao sebastiao do rio verde,857
sao thome das letras,2477
sao tiago,4163
sao tomas de aquino,3043
sao vicente de minas,2331
sapucai-mirim,2309
sardoa,1609
sarzedo,6925
sem-peixe,1332
senador amaral,2093
senador cortes,851
senador firmino,2650
senador jose bento,1073
senador modestino goncalves,1556
senhora de oliveira,2162
senhora do porto,1296
senhora dos remedios,3677
sericita,2957
seritinga,752
serra azul de minas,1304
serra da saudade,395
serra do salitre,3892
serra dos aimores,2921
serrania,3102
serranopolis de minas,1592
serranos,733
serro,6494
sete lagoas,67954
setubinha,2874
silveirania,866
silvianopolis,2519
simao pereira,1008
simonesia,6847
sobralia,2328
soledade de minas,2155
tabuleiro,1838
taiobeiras,10708
taparuba,1430
tapira,1386
tapirai,808
taquaracu de minas,1260
tarumirim,5677
teixeiras,4746
teofilo otoni,46603
timoteo,28923
tiradentes,2301
