city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
miguelopolis,13.79,9.81,5.24,2.37,12.54,8.47,39.9,27.03
miracatu,13.97,10.31,3.97,1.68,13.88,7.99,39.18,31.42
mirandopolis,11.06,7.19,1.73,0.88,7.69,4.02,38.84,25.12
mongagua,7.36,4.85,3.34,2.31,7.36,4.19,14.97,9.62
monte alto,8.27,5.18,1.37,0.82,5.07,2.79,31.77,18.34
monte aprazivel,9.88,5.74,1.01,0.92,5.82,3.28,34.55,18.87
monte mor,10.41,7.06,2.51,1.6,10.35,5.74,34.27,24.88
morro agudo,13.62,8.43,6.43,2.56,12.19,7.73,41.46,23.95
novo horizonte,11.36,7.6,2.59,1.45,8.26,5.33,35.27,22.42
orlandia,7.09,5.16,2.29,1.17,5.48,3.96,25.36,16.16
osvaldo cruz,9.82,6.53,1.3,1.26,5.76,3.17,34.36,21.34
palmital,9.23,5.62,1.43,1.25,6.53,3.31,29.07,16.28
paraguacu paulista,9.89,6.72,2.38,1.29,7.66,4.65,33,21.79
pederneiras,10.1,6.63,2.65,1.25,8.67,5.15,30.87,20.99
pedreira,6.99,4.68,1.44,0.72,4.73,2.94,28.4,18.07
pereira barreto,11.63,8.37,1.99,1.38,8.29,4.57,40.45,28.5
pilar do sul,12.32,7.34,2.6,1.46,11.39,5.5,39.19,23.08
piracaia,11.9,7.86,3.41,1.22,10.13,5.54,34.61,24.5
piraju,9.16,5.87,1.93,0.78,7.22,4.05,27.17,17.36
pirajui,9.82,7.55,2.78,1.82,7.49,5.0,30.35,24.74
pirapozinho,10.87,7.5,2.01,1.07,7.36,4.07,41.37,29.1
pitangueiras,12.05,8.04,3.4,1.87,11.4,6.97,35.95,24.73
pontal,12.32,9.63,4.2,2.4,12.25,9.85,37,28.22
porto feliz,7.41,5.24,1.58,1.12,6.33,4.02,24.57,16.42
presidente epitacio,9.99,6.8,1.78,1.13,7.9,4.16,36.47,25.1
presidente venceslau,9.72,6.64,1.5,0.81,6.9,3.82,34.81,22.29
promissao,8.91,5.6,1.78,0.94,6.6,3.63,30.84,19.06
rancharia,10.33,7.24,2.19,1.44,8.13,4.81,33.27,22.53
rio das pedras,8.52,6.14,1.78,1.32,7.85,4.86,29.25,21.91
rio grande da serra,8.42,5.41,1.99,1.16,8.14,4.12,36.4,23.27
salto de pirapora,10.91,7.85,2.32,1.19,9.92,6.35,35.3,24.07
santa cruz das palmeiras,10.54,8.14,3.71,2.33,9.25,7.6,31.49,20.29
santa cruz do rio pardo,8.42,5.51,2.02,1.23,6.45,3.84,26.19,15.76
santa fe do sul,10.41,6.42,1.75,0.66,6.58,3.42,37.04,21.01
santa gertrudes,7.86,4.68,1.51,0.58,6.99,3.63,27.8,19.97
santa rita do passa quatro,8.43,5.52,1.69,0.76,5.72,3.26,24.49,15.38
santa rosa de viterbo,7.31,4.94,1.81,1.03,5.59,3.31,23.17,15.16
santo anastacio,10.42,7.03,1.31,0.88,6.76,3.86,35.17,22.54
santo antonio de posse,11.39,7.82,2.99,1.05,9.75,5.89,35.58,27.56
sao joaquim da barra,7.58,5.0,1.81,0.77,6,3.41,26.27,17.05
sao manuel,10.7,7.05,2.47,1.22,9.19,5.1,31.6,22.2
sao miguel arcanjo,10.03,7.98,1.99,1.17,8.94,5.92,35.27,26.8
sao pedro,8.04,5.23,2.58,1.68,7.48,4.29,18.67,11.6
serra negra,8.9,6.32,1.81,1.2,6.95,4.35,24.53,16.47
serrana,9.19,6.41,2.38,2.05,8.4,5.08,35.92,24.76
socorro,10.07,6.86,1.51,1.15,7.07,3.87,31.55,20.73
tambau,7.93,5.31,1.58,0.83,6.37,3.76,25.27,16.32
tanabi,10.71,7.01,2.65,1.49,6.61,4.19,37,21.36
taquarituba,12.1,8.46,3.11,1.33,10.07,6.26,39.48,27.46
teodoro sampaio,13.33,9.18,2.17,1.07,11.51,6.11,49.7,36.49
tiete,4.85,3.69,1.22,0.86,3.98,2.79,14.33,10.69
tremembe,5.57,3.86,2.11,1.13,4.93,2.95,19.21,13.52
valparaiso,11.8,7.3,3.06,1.25,9.05,5.22,40.68,27.21
vargem grande do sul,9.11,5.91,2.58,1.29,6.88,4.09,29.78,18.76
vargem grande paulista,7.68,4.11,1.87,0.92,7.48,2.84,31.01,17.53
de 50.001 a 100.000 ,7.64,5.19,1.88,1.12,6.26,3.61,26.99,17.09
amparo,7.09,4.7,1.59,0.9,5.38,3.08,22.48,14.82
andradina,9.45,5.88,1.56,0.8,6.16,2.97,34.29,20.73
aruja,7.87,4.91,1.83,0.94,7.52,3.8,33.04,20.0
