city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
magda,81.07,84.46,17.21,4.92,1.72,10.62
maraba paulista,15.73,55.4,45.28,13.0,38.99,31.6
marapoama,68.2,83.8,17.89,5.51,13.91,10.69
mariapolis,62.25,78.72,32.73,8.4,5.02,12.88
marinopolis,70.94,80.43,5.31,6.09,23.75,13.48
mendonca,73.69,81.61,5.24,11.7,21.07,6.69
meridiano,69.78,75.36,7.99,15.77,22.23,8.87
mesopolis,60.14,76.54,9.7,7.56,30.16,15.9
mira estrela,72.97,78.07,7.15,12.27,19.88,9.66
mirassolandia,64.5,85.14,21.68,14.86,13.82,-
mombuca,64.18,78.96,11.9,15.73,23.92,5.31
moncoes,83.51,83.56,3.51,4.41,12.98,12.03
monte castelo,64.53,78.72,11.85,3.88,23.62,17.4
monteiro lobato,45.07,37.68,39.05,59.7,15.88,2.62
motuca,67.97,71.92,30.76,18.28,1.27,9.8
murutinga do sul,66.94,68.24,6.99,8.55,26.07,23.21
nantes,73.86,88.64,3.9,9.11,22.24,2.25
narandiba,59.25,69.99,12.6,9.51,28.15,20.51
nipoa,82.37,86.17,5.29,10.81,12.34,3.03
nova canaa paulista,0.4,42.28,46.82,25.1,52.79,32.62
nova castilho,38.18,68.16,25,8.42,36.82,23.42
nova guataporanga,73.39,85.53,11.45,3.42,15.16,11.05
nova independencia,0.81,73.07,75.73,13.57,23.46,13.36
nova luzitania,82.47,88.89,2.14,6.99,15.38,4.12
novais,82.04,90.0,4.55,5.85,13.41,4.15
ocaucu,69.8,79.36,20.02,13.84,10.18,6.81
oleo,52.08,61.14,25.42,26.67,22.5,12.18
onda verde,77.52,78.93,10.58,13.71,11.9,7.36
oscar bressane,74.83,81.19,9.27,5.39,15.89,13.42
paranapua,66.24,87.5,18.76,2.78,15,9.72
parisi,75.94,82.14,4.26,4.92,19.8,12.94
paulistania,45.42,58.42,14.54,21.86,40.04,19.71
pedranopolis,59.1,61.49,9.28,15.86,31.62,22.65
pedrinhas paulista,74.53,81.47,15.38,7.99,10.09,10.54
piquerobi,47.01,65.64,33.21,13.64,19.78,20.72
planalto,71.4,83.67,10.21,15.97,18.38,0.35
platina,63,77.09,10.17,12.08,26.83,10.83
pongai,76.12,83.9,2.93,13.54,20.95,2.56
pontalinda,66.87,82.57,11.38,4.79,21.75,12.63
pontes gestal,76.77,85.92,2.69,13.96,20.54,0.12
populina,72.62,83.08,9.59,8.73,17.79,8.19
pracinha,68.06,86.08,29.73,10.0,2.21,3.92
pratania,70.7,80.42,12.45,10.55,16.85,9.02
presidente alves,78.86,83.96,5.09,8.76,16.04,7.28
quadra,24.6,24.54,38.64,71.69,36.76,3.77
queiroz,73.55,87.26,8.23,6.71,18.23,6.03
redencao da serra,29.59,31.98,25.02,47.46,45.38,20.56
ribeira,26.84,24.79,33.68,63.06,39.47,12.16
ribeirao corrente,73.05,75.69,3.42,14.38,23.54,9.92
ribeirao do sul,62.14,65.51,15.18,21.72,22.68,12.78
ribeirao dos indios,67.92,82.31,13.34,5.36,18.74,12.33
rifaina,77.81,84.22,15.4,15.35,6.79,0.43
rubiacea,48.66,75.29,32.24,19.63,19.1,5.08
rubineia,61.45,67.77,20.4,24.2,18.15,8.03
sagres,58.25,79.33,11.33,19.51,30.42,1.16
salmourao,72.62,87.17,20.02,4.32,7.37,8.51
sandovalina,3.29,65.55,79.76,6.04,16.94,28.4
santa clara d'oeste,65.81,75.29,5.87,6.79,28.31,17.92
santa cruz da conceicao,56.92,72.81,16.7,24.5,26.37,2.69
santa cruz da esperanca,64.73,66.0,6.43,22.45,28.84,11.56
santa mercedes,50.95,70.3,32.94,20.94,16.11,8.76
santa rita d'oeste,54.56,65.82,7.1,7.47,38.34,26.7
santa salete,35.68,58.22,11.5,18.81,52.82,22.97
santana da ponte pensa,59.59,72.05,2.55,5.39,37.86,22.56
santo expedito,48.09,72.88,42.58,23.5,9.33,3.62
santopolis do aguapei,92.01,95.77,2.82,2.75,5.17,1.48
sao francisco,73.15,81.54,3.28,9.44,23.56,9.02
sao joao das duas pontes,75.32,83.1,6.46,5.4,18.22,11.5
sao joao de iracema,66.39,80.03,4.95,16.24,28.66,3.72
sao joao do pau d'alho,61.81,81.62,16.87,4.66,21.32,13.72
sao jose do barreiro,56.94,65.44,15.12,22.94,27.94,11.62
sarutaia,72.33,82.36,19.17,17.21,8.5,0.44
sebastianopolis do sul,65.61,77.51,32.8,15.28,1.59,7.21
suzanapolis,34.3,69.54,43.38,4.95,22.32,25.5
taquaral,90.29,94.58,4.52,1.42,5.19,4.01
