city,total,regular,military_and_gov,irregular,entrepreneur,employers
capela de santana,808.24,819.55,1084.38,528.88,850.23,2338.87
capitao,1014.07,726.3,1154.16,706.09,1257.25,2691.76
capivari do sul,2101.65,872.14,1272.29,585.29,5569.41,5092.95
caraa,690.75,656.62,1363.67,564.01,629.35,1839.04
carazinho,1228.43,1057.01,1938,612.54,1441.41,3967.98
carlos barbosa,1334.81,1225.72,2284.42,769.13,1429.16,3181.9
carlos gomes,960.81,850.17,1381.77,621.35,913.48,-
casca,1198.52,1016.37,1978.58,800.98,1219.7,3738.03
caseiros,1036.1,817.18,1170.41,560.73,1260.37,2172.59
catuipe,1355.77,952.47,1286.42,465.2,2000.61,2232.24
caxias do sul,1626.9,1424.11,3096.18,887.87,1974.46,4523.06
centenario,899.13,818.85,914.47,519.77,921.97,8787.74
cerrito,646.41,653.36,1012.34,378.24,611.53,3121.82
cerro branco,644.33,780.38,1186.55,496.17,564.6,1129.45
cerro grande,690.94,635.45,1281.29,379.7,567.37,1466.73
cerro grande do sul,822.97,769.06,1413.25,484.76,889.7,778.69
cerro largo,1147.14,1033.5,2051.09,560.9,1103.51,4052.98
chapada,1118.82,809.99,1014.88,504.55,1457.09,2224.65
charqueadas,1042.78,1192.42,1641.03,415.18,1005.67,2412.83
charrua,877.68,787.95,1031.32,449.24,959.56,770.4
chiapetta,998,777.12,1124.49,542.97,1309.92,3457.12
chui,870.57,696.93,1437.75,665.82,893.91,1985.42
chuvisca,673.31,1054.26,976.18,473.06,665.04,-
cidreira,1039.29,904.87,1443.81,632.35,1011.15,3175.47
ciriaco,825.61,790.56,1331.23,682.42,783.5,3296.32
colinas,1053.84,862.11,2155.86,916.37,1094.55,3189.51
colorado,1435.92,914.23,1252.04,607.89,1875.36,2371.04
condor,1259.09,997.28,1618.3,723.03,1666.67,3643.42
constantina,1036.69,888.98,1592.45,661.37,1211.04,1691.71
coqueiro baixo,916.39,1044.23,1107.85,1114.41,819.78,3066.36
coqueiros do sul,1423.34,978.62,1334.43,527.15,1538.24,20000
coronel barros,1653.17,840.86,1275.23,693.53,1340.37,18243.9
coronel bicaco,957.46,811.15,1291.77,389.24,1400.55,2654.68
coronel pilar,874.39,919.88,1050.16,619.23,879.77,1000
cotipora,1034.67,877.83,1348.68,565.17,1047.73,2965.3
coxilha,1151.33,840.25,923.95,487.37,1752.75,3000
crissiumal,762.98,780.4,1356.15,567.87,704.15,3250.17
cristal,937.45,813.69,1041.04,549.78,1111.34,2811.44
cristal do sul,616.97,826.84,926.76,516.09,478.73,2819.49
cruz alta,1227.46,1026.02,1862.98,630.94,1436.36,4453.29
cruzaltense,982.1,972.69,1208.5,610.16,1017.9,-
cruzeiro do sul,858.98,842.73,1190.38,677.07,854.23,2285.35
david canabarro,1098.34,933.61,1378.19,914.12,1145.49,1000
derrubadas,1000.97,650.8,991.32,800.17,1304.84,1230.84
dezesseis de novembro,632.59,662.43,1288.58,411.52,485.04,-
dilermando de aguiar,853.78,748.26,1352.03,419.71,1108.93,2403.93
dois irmaos,1137.36,1001.76,1513.4,830.32,1564.36,2978.48
dois irmaos das missoes,896.49,871.62,998.55,444.45,1290.28,2000
dois lajeados,1020.05,855.32,1690.21,786.96,1034.16,2812.55
dom feliciano,644.43,889.86,1207,472.01,605.91,1200
dom pedrito,968.15,803.75,1431.12,460.34,1216.13,4287.79
dom pedro de alcantara,815.48,844.06,1041.1,521.75,689.12,4099.23
dona francisca,974.57,929.83,1338.99,672.73,1026.17,2107.97
doutor mauricio cardoso,837.36,968.58,1219.51,432.59,794.89,1635.26
doutor ricardo,929.98,797.91,1446.57,610.5,961.86,2270.11
eldorado do sul,998.01,967.19,1686.9,667.44,1045.61,3173.88
encantado,1153.43,983.12,1667.35,718.5,1566.99,2422.09
encruzilhada do sul,812.96,803.07,1186.2,510.26,800.9,4285.93
engenho velho,1289.74,815.14,1229.93,884.1,1570.86,300
entre rios do sul,860.21,919.11,1317.34,751.53,748.92,1053.7
entre-ijuis,926.57,828.67,1343.93,505.34,1041.81,3519.6
erebango,975,854.56,1234.45,481.9,1170.51,2139.87
erechim,1367.48,1192.66,2081.49,721.65,1773.44,3692.05
ernestina,995.97,814.22,1245.76,603.6,1179.77,-
erval grande,940.53,865.78,2060.07,589.39,794.33,5439.74
erval seco,832.12,880.27,1515.74,435.62,699.13,4654.71
esmeralda,802.58,751.29,1099.07,547.15,836.84,2703.62
esperanca do sul,548.48,890.63,1292.35,534.95,461.54,1066.49
espumoso,1201.55,943.94,1338.65,630.19,1500.91,6170.25
estacao,1192.6,886.05,1287.22,517.15,1962.95,2299.25
estancia velha,1134.07,1054.73,1884.73,881.7,1282.27,2162.33
esteio,1412.23,1377.42,2316.99,740.64,1383.83,3934.1
estrela,1231.91,1019.55,1394.09,836.87,1473.91,3800.66
estrela velha,1017.28,783.48,1008.76,637.05,1087.9,4654.79
eugenio de castro,1010.4,765.79,1332.84,466.27,1256.81,3165.02
fagundes varela,1112.65,1014.4,1314.36,767.6,1211.73,1263.34
farroupilha,1297.71,1185.9,1959.99,921.87,1417.2,3316.56
faxinal do soturno,963.04,932.88,1924.69,591.54,916.05,2437
faxinalzinho,735.7,844.17,888.95,427.47,810.42,1500
fazenda vilanova,999.75,824.05,1207.8,554.51,1245.87,6417.88
feliz,1068.24,971.8,1197.58,788.13,1184.48,2703.53
flores da cunha,1302.97,1121.67,1734.57,723.62,1558.19,3262.34
floriano peixoto,992.22,974.92,1141.39,841.03,988.4,2560
fontoura xavier,857.53,749.46,1051.7,478.84,1011.08,3223.53
formigueiro,882.26,805.69,954.41,402.43,1033.45,9450.4
forquetinha,782.36,845.34,1084.9,615.47,737.04,1803.78
fortaleza dos valos,1581.33,888.43,1523.3,582.44,2230.47,17557.53
frederico westphalen,1238.8,1085,2584.03,687.06,1313.09,2332.27
garibaldi,1438.22,1183.09,2282.36,824.69,1701.34,3971.35
garruchos,743.33,715.84,1363.95,476.38,601.34,-
gaurama,1000.21,917.77,1177.93,693.43,1114.64,1458.17
general camara,863.93,901.77,2037.7,469.43,661.54,2616.24
gentil,970.08,797.31,1261.07,555.38,1103.15,2000
getulio vargas,1144.47,1022.63,1503.55,661.96,1364.65,2938.35
girua,1060.93,846.91,1618.46,490.9,1275.5,4760.84
glorinha,1049,998.53,1227.24,754.61,1209.08,2483.02
gramado,1269.66,1011.25,2414.64,823.58,1583.1,3470.33
gramado dos loureiros,811.45,759.82,943.67,533.06,897.6,692.71
gramado xavier,1057.78,932.34,1596.81,550.2,1084.33,-
