city,total,regular,military_and_gov,irregular,entrepreneur,employers
delta,1016.91,1013.5,2080.69,635.13,1459.18,2000
descoberto,684.55,689.5,880.43,445.2,769.22,1316.86
desterro de entre rios,601.15,674.66,758.19,410.52,729.62,-
desterro do melo,572.46,572.55,769.41,342.69,680.22,-
diamantina,963.12,770.96,2214.07,516.12,979.7,2723.91
diogo de vasconcelos,611.81,667.12,1177.6,571.74,459.7,1526.87
dionisio,786.96,801.63,895.79,692.91,685.03,2885.8
divinesia,691.07,743.7,709.22,484,729.43,2386.25
divino,687.23,756.61,1898.4,483.15,576.34,1779.03
divino das laranjeiras,665.98,626.54,835.29,469.14,805.04,3320.37
divinolandia de minas,614.91,719.48,804.81,415.96,671.62,2372.05
divinopolis,1245.67,1024.67,2069.12,756.86,1562.63,3674.74
divisa alegre,657.42,754.08,1018.56,315.38,745,1410.69
divisa nova,747.9,647.3,1037.28,584.52,1084.93,1915.99
divisopolis,492.09,549.68,847.66,342.33,499.87,1909.49
dom bosco,687.97,722.2,961.45,465.91,828.63,2314.95
dom cavati,746.25,804.07,961.07,425.45,944.38,1942.06
dom joaquim,561.73,692.53,862.29,382.05,600.5,500
dom silverio,670.81,688.26,1061.55,417.08,625.67,1831.09
dom vicoso,628.33,727.67,1009.84,400.24,512.29,1572.94
dona eusebia,776.71,657.85,1289.69,573.43,1045.11,1645.78
dores de campos,793.61,689.67,1229.58,414.42,647.41,3981.76
dores de guanhaes,704.66,833.56,807.12,496.86,641.89,2077.58
dores do indaia,938.07,774.35,1570.14,539.4,1384.69,3344.81
dores do turvo,634.77,698.77,850.33,414.81,701.53,2174.17
doresopolis,702.4,723.75,811.41,526.58,843.14,700
douradoquara,894.24,718.66,769.84,676.75,1434.37,649.34
durande,631.89,630.1,834.42,504.58,739.77,3460.52
eloi mendes,923.53,851.18,1494.34,660.87,1273.7,1828.9
engenheiro caldas,764.23,703.94,924.34,442.5,1196.33,3002.77
engenheiro navarro,665.74,735.57,707.71,405.98,838.51,1576.92
entre folhas,694.81,841.45,1089.65,492.69,779.2,2000
entre rios de minas,918.25,843.79,1229.72,516.29,1052.51,3429.23
ervalia,604.19,624.96,1521.18,402.89,635.03,1987.11
esmeraldas,776.12,777.27,1185.61,571.82,898.41,1757.1
espera feliz,712.97,787.65,1196.38,447.94,803.59,1719.96
espinosa,502.86,613.12,850.9,359.43,487.56,1158.4
espirito santo do dourado,656.13,611.24,765.62,527.47,759.5,2079.11
estiva,764.35,806.8,1106.81,556.69,793.46,2830.1
estrela dalva,1118.7,798.87,812.85,480.74,919.96,22491.29
estrela do indaia,839.21,730.26,849.5,559.8,1646.23,2519.32
estrela do sul,880.24,828.05,977.23,609.48,1246.21,1640.53
eugenopolis,692.09,752.74,1253.35,451.53,681.09,2141.13
ewbank da camara,707.47,712.48,1048.76,478.54,738.56,-
extrema,1067.51,984.53,1682.74,724.46,1462.32,2259.95
fama,811.63,718.7,1024.7,583.98,1131.99,997.24
faria lemos,730.56,621.49,1011.07,357.26,710.81,5566.09
felicio dos santos,444.84,636.82,782.37,311.46,311.73,1107.53
felisburgo,521.92,786.67,714.74,340.7,628.24,1255.87
felixlandia,767.91,800.34,1092.78,457.71,944.17,1964.72
fernandes tourinho,629.72,673.58,785,459.43,762.19,1000
ferros,688.05,592.13,1206.73,406.55,922.96,2208.19
fervedouro,558.07,797.52,825.22,355.76,557.99,1571.6
florestal,1006.16,977.68,1324.64,590.7,1272.16,2156.51
formiga,1124.09,916.88,1662.73,667.15,1406.57,6095.81
formoso,797.42,745.92,925.52,460.7,782.49,9079.08
fortaleza de minas,877.93,929.85,1021.35,616.89,815.56,2526.75
fortuna de minas,693.06,716.19,839.8,458.28,824.16,3944.56
francisco badaro,523.4,605.69,854.7,344.11,420.64,1878.51
francisco dumont,551.09,700.69,907.15,396.55,435.99,1438.47
francisco sa,704.15,637.27,1113.67,407.84,702.25,9149.89
franciscopolis,510.48,603.29,754.62,399.2,526.97,1938.96
frei gaspar,549.91,546.42,880.91,400.2,579.09,3295
frei inocencio,678.24,733.3,1110.19,442.77,843.44,1593.54
frei lagonegro,455.36,673.72,621,305.95,521.04,510
fronteira,960.37,1012.64,1073.02,575.3,1307.43,4075.42
fronteira dos vales,539.15,835.79,729.31,416.4,462.89,436.27
fruta de leite,566.06,633.46,769.94,394.82,397.8,510
frutal,1194.44,1004.72,2197.5,679.65,1758.07,3137.86
funilandia,625.96,652.27,707.64,516.39,760.67,-
galileia,756.17,820.86,933.92,497.02,734.47,2882.42
gameleiras,480.76,873.98,717.75,338.11,443.14,3641.69
glaucilandia,536.16,622.49,745.57,422.86,426.87,-
goiabeira,699.08,711.24,1010.72,517.21,855.36,875.44
goiana,742.12,679.44,887.34,486.62,844.3,1545.53
goncalves,734.9,696.34,1119.45,502.75,811.59,2150.27
gonzaga,609.54,686.16,1257.79,412.53,570.57,1555.82
gouveia,663.97,641.05,832.48,531.06,670.87,2732.85
governador valadares,1086.54,943.6,1816.27,612.5,1328.03,3115.94
grao mogol,573.38,702.51,1012.27,400.06,528.29,1136.86
grupiara,818.58,863.8,796.55,480.43,937.42,6847.07
guanhaes,1006.35,778.37,1642.64,488.5,1201.16,4118.39
guape,744.49,668.77,1041.76,560.06,836.07,1772.88
guaraciaba,570.13,658.93,891.16,387.88,676.73,1481.15
guaraciama,528.75,633.84,691.53,445.96,411.74,510
guaranesia,850.62,805.77,1414.82,538.21,1039.04,3238.35
guarani,798.75,749.27,1892.1,491.69,945.89,2513
guarara,679.29,617.66,770.89,459.08,939.32,3790.26
guarda-mor,1238.3,899.32,855.65,649.49,1950.39,9777.31
guaxupe,1057.36,949.1,1509.29,703.13,1449.18,2597.56
guidoval,683.23,690.11,1051.87,486.75,710.21,1559.42
guimarania,940.01,768.86,1205.25,557.79,1315.32,3561.16
guiricema,709.79,736.75,964.31,486.78,652.38,3529.15
gurinhata,987.53,911.17,1178.78,570.2,1232.65,4080.89
heliodora,771.97,706.71,962.24,538.37,840.37,3905.25
iapu,774.77,791.88,901.79,490.75,993.3,2021.79
ibertioga,598.08,629.6,668.85,413.43,772.26,1869.85
ibia,1134.61,862.87,1165.24,660.84,2269.14,3408.51
ibiai,514,597.93,894.89,384.29,523.33,2848.5
ibiracatu,531.31,649.61,859.39,329.66,419.01,180
ibiraci,970.65,873.28,1627.57,767.44,1348.91,1885.96
ibirite,846.32,831.91,1264.83,646.81,972.31,2452.65
ibitiura de minas,687.61,712.63,1068.26,521.02,679.62,5933.73
ibituruna,690.43,551.93,875.61,432.11,929.53,5211.8
icarai de minas,526.67,649.25,817.1,356.69,525.98,4386.96
igarape,992.37,932.2,996.5,644.76,1049.42,5700.53
igaratinga,898.36,865.54,963.86,741.34,1212.64,1817.48
iguatama,957.22,880.09,1111.05,499.41,1439.82,2183.06
ijaci,884.31,861.26,1317.5,553.57,1221.66,1978.64
ilicinea,764.1,624.76,859.43,525.49,1108.75,1881.61
imbe de minas,513.51,586.46,739.45,452.29,478.42,1599.08
inconfidentes,830.46,785.55,1441.02,482.56,657.52,6114.25
indaiabira,533.82,621.25,788.18,374.63,434.47,10840.78
indianopolis,886.01,770.14,1137.87,594.67,1263.33,1851.39
ingai,967.31,722.66,806.68,591.87,1329.88,6143.45
inhapim,741.56,814.72,1514.24,476.15,595.01,4411.35
inhauma,773.84,829.46,776.77,505.87,1089.93,2010.67
inimutaba,610.38,670.71,712.08,420.15,703.66,-
ipaba,745.56,824.81,958.48,505.91,728.63,2176.77
ipanema,827.43,732,1118.04,464.81,1083.75,3311.67
ipatinga,1337.8,1273.38,2122.17,823.95,1361.31,4259.48
ipiacu,979.45,857.92,995.72,480.46,1204.19,10544.87
ipuiuna,1064.28,843.1,851.19,558.14,1454.54,7970.96
irai de minas,1034.94,775,883.64,543.44,1867.52,4438.42
