city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
oleo,847,23,40,378,106,301
olimpia,14374,753,1180,7449,1454,3539
onda verde,1070,52,82,645,21,270
oriente,1735,95,132,1016,150,342
orindiuva,1477,34,175,979,22,267
orlandia,11895,646,817,7579,411,2442
osasco,211735,6404,11805,137636,11503,44387
oscar bressane,761,22,49,379,100,211
osvaldo cruz,9193,386,825,5094,552,2336
ourinhos,28236,1369,2636,15602,1958,6671
ouro verde,2267,12,77,863,104,1211
ouroeste,1875,15,189,688,260,722
pacaembu,4199,117,392,1204,523,1963
palestina,2795,93,305,1023,121,1253
palmares paulista,2877,55,193,2324,44,262
palmeira d'oeste,3011,86,315,885,229,1496
palmital,5726,313,701,2462,724,1526
panorama,3885,59,340,1994,119,1373
paraguacu paulista,10207,460,1097,6221,708,1721
paraibuna,5016,328,632,1708,769,1579
paraiso,1817,52,141,954,151,519
paranapanema,4395,96,320,2295,384,1300
paranapua,1263,18,196,262,127,660
parapua,3053,120,266,1409,222,1036
pardinho,1589,19,71,967,87,444
pariquera-acu,4490,151,414,2114,577,1234
parisi,556,22,52,279,27,176
patrocinio paulista,3942,221,303,2137,124,1158
pauliceia,1368,47,92,691,89,449
paulinia,17936,707,1031,13499,209,2491
paulistania,641,19,57,436,29,100
paulo de faria,2760,95,292,1189,212,971
pederneiras,11476,595,827,7460,475,2119
pedra bela,1727,115,207,450,81,874
pedranopolis,813,23,85,314,28,363
pedregulho,4913,189,176,2535,200,1813
pedreira,13250,296,391,9507,370,2687
pedrinhas paulista,720,37,71,429,41,142
pedro de toledo,2171,121,347,972,141,589
penapolis,17775,703,1385,11027,836,3824
pereira barreto,7126,252,903,3454,439,2078
pereiras,1733,112,160,943,94,424
peruibe,11166,546,1924,3837,969,3889
piacatu,1474,23,50,754,70,577
piedade,15099,1088,1581,5928,790,5711
pilar do sul,6106,255,481,2667,323,2379
pindamonhangaba,33383,1452,2330,19483,2544,7574
pindorama,4295,174,251,2789,216,864
pinhalzinho,3109,230,456,933,163,1326
piquerobi,838,15,108,344,116,255
piquete,3577,185,439,1988,235,731
piracaia,7307,342,588,3060,429,2887
piracicaba,103595,5790,7169,65324,5663,19649
piraju,9328,481,743,4387,666,3051
pirajui,6435,260,529,2663,747,2237
pirangi,3354,94,293,1502,128,1338
pirapora do bom jesus,3595,225,296,1789,354,931
pirapozinho,6098,255,642,2946,614,1642
pirassununga,19802,1081,1136,11893,2277,3415
piratininga,3397,284,261,1813,216,822
pitangueiras,9216,237,732,5951,573,1724
planalto,1190,2,58,511,64,554
platina,803,30,58,321,153,241
poa,26751,691,1781,15753,2494,6032
poloni,1503,22,200,533,137,612
pompeia,6450,350,569,4450,185,895
pongai,1175,27,93,450,124,481
pontal,10074,483,759,7238,222,1372
pontalinda,1186,25,81,500,155,423
pontes gestal,565,12,62,255,35,200
populina,1583,38,175,378,143,850
porangaba,1650,177,174,716,102,482
porto feliz,14130,1140,1213,7895,613,3268
porto ferreira,15813,505,822,11060,606,2820
potim,3709,163,276,1732,117,1421
potirendaba,4590,117,407,1932,428,1705
pracinha,387,7,23,197,13,146
pradopolis,3821,131,334,2776,69,510
praia grande,49092,1339,4168,26362,4154,13069
pratania,1285,25,76,600,79,506
presidente alves,1527,54,113,931,56,373
presidente bernardes,4089,214,468,1732,333,1342
presidente epitacio,10845,341,724,6469,799,2512
presidente prudente,58827,2756,4713,34650,4837,11870
presidente venceslau,11143,587,1324,4130,1807,3296
promissao,8616,172,682,5155,821,1785
quadra,731,119,78,325,8,201
quata,3513,159,335,2167,289,564
queiroz,748,25,46,457,34,186
queluz,2464,126,165,1290,166,718
quintana,1508,50,100,916,54,388
rafard,2817,71,128,2027,169,422
rancharia,8665,356,702,5044,440,2123
redencao da serra,1093,71,162,431,57,372
regente feijo,5321,138,449,2657,672,1406
reginopolis,1581,104,116,707,163,492
registro,13710,509,1015,7245,1433,3509
restinga,2106,148,107,1279,57,515
ribeira,761,24,62,295,74,306
ribeirao bonito,3640,146,205,2463,190,636
ribeirao branco,5242,74,157,1777,168,3067
ribeirao corrente,1336,60,66,643,44,524
ribeirao do sul,1411,28,160,470,66,688
ribeirao dos indios,726,22,62,216,72,355
ribeirao grande,1451,53,138,659,143,458
ribeirao pires,30115,841,2003,19103,2112,6056
ribeirao preto,161042,7037,9075,106691,8489,29750
rifaina,1075,164,92,430,68,320
rincao,3360,168,158,2227,95,713
rinopolis,3100,158,241,1489,132,1081
rio claro,52471,2363,3127,35903,1953,9126
rio das pedras,7578,191,422,5197,216,1552
rio grande da serra,9887,325,972,5910,638,2042
riolandia,3013,60,313,992,287,1361
riversul,1265,22,142,198,287,615
