city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
gravatai,6.52,2.69,2.09,0.3,0.39,0.06
novo hamburgo,7.92,3.98,0.29,0.12,0.12,0.01
passo fundo,8.39,4.21,1.91,0.69,0.39,0.03
pelotas,9.54,4.65,4.46,2.08,0.87,0.25
rio grande,10.77,5.88,1.33,0.45,0.45,0.07
santa cruz do sul,7.65,3.42,5.37,1.29,0.75,0.21
santa maria,8.07,3.94,3.3,1.11,0.87,0.2
sao leopoldo,7.67,4.09,1.23,0.24,0.27,0.06
sapucaia do sul,6.06,2.66,0.62,0.52,0.12,0.12
uruguaiana,9.38,6.18,2.48,2.67,0.58,0.38
viamao,7.02,4.03,1.87,0.43,0.4,0.11
mais de 500.000 ,7,3.53,0.5,0.09,0.12,0.01
porto alegre,7,3.53,0.5,0.09,0.12,0.01
