city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
ajuricaba,3.2,15.64,65.57,72.96,31.23,11.4
alecrim,1.36,10.64,45.67,87.94,52.97,1.42
alpestre,7.45,13.14,21.43,33.94,71.12,52.92
amaral ferrador,11.83,15.71,34.11,52.34,54.05,31.95
ametista do sul,0.64,15.73,44.03,64.45,55.32,19.82
anta gorda,23.58,45.83,58.75,46.55,17.67,7.62
aratiba,27.99,47.87,42.21,48.43,29.8,3.7
arroio do sal,9.42,25.83,86.64,73.84,3.94,0.33
augusto pestana,3.75,17.28,47.85,78.61,48.41,4.1
barao,21.26,29.64,48.09,68.09,30.65,2.27
barao de cotegipe,35.25,53.63,19.25,25.33,45.49,21.04
barao do triunfo,1.75,8.67,10.06,37.85,88.18,53.48
barracao,3.24,32.64,53.8,52.59,42.96,14.77
boa vista do burica,10.63,7.69,76.07,91.51,13.3,0.81
boqueirao do leao,4.58,22.05,27.26,35.22,68.16,42.72
bossoroca,2.19,14.19,57.63,69.98,40.18,15.83
caicara,14.77,15.92,12.63,62.62,72.59,21.47
cambara do sul,44.75,49.95,45.91,47.57,9.34,2.47
campina das missoes,21.13,36.62,71.6,62.51,7.27,0.87
campinas do sul,44.29,78.43,22.08,20.51,33.63,1.06
campo novo,0.46,9.76,78.32,83.19,21.22,7.05
candido godoi,3.96,10.33,81.13,86.38,14.91,3.29
candiota,66.46,69.51,9.87,16.09,23.67,14.4
caraa,0.66,43.44,88.08,53.21,11.26,3.35
casca,47.33,28.15,20.74,70.25,31.94,1.6
catuipe,7.08,17.32,59.16,77.87,33.76,4.82
cerrito,1.41,27.24,57.69,52.53,40.9,20.22
chapada,1.15,15.05,48.53,78.43,50.32,6.52
chui,78.25,78.36,16.67,21.02,5.09,0.61
condor,16.2,18.52,53.46,74.84,30.33,6.64
constantina,2.84,36.15,80.48,56.07,16.68,7.77
coronel bicaco,0.2,1.79,69.82,75.35,29.98,22.85
cristal,51,61.85,24.18,30.26,24.82,7.89
doutor mauricio cardoso,0.32,2.28,49.03,86.86,50.66,10.86
entre-ijuis,3.92,11.92,66.81,70.79,29.28,17.28
erval grande,22.24,32.71,30.84,52.27,46.92,15.02
erval seco,3.47,13.52,37.32,74.0,59.21,12.48
estacao,37.7,52.82,53.16,44.51,9.14,2.67
faxinal do soturno,51.26,61.09,26.13,28.81,22.6,10.1
formigueiro,23.08,15.92,32.12,64.84,44.8,19.24
gaurama,35.3,39.75,25.39,43.97,39.31,16.28
general camara,49.34,47.95,27.29,34.86,23.37,17.19
glorinha,19.28,40.25,64.82,56.74,15.9,3.01
guarani das missoes,6.31,2.67,82.41,95.07,11.29,2.26
herval,32.84,48.14,32.15,36.16,35.01,15.7
hulha negra,37.92,39.51,31.45,34.79,30.63,25.7
ibiraiaras,35.48,42.38,18.88,51.0,45.64,6.62
independencia,0.33,5.36,61.19,76.88,38.48,17.76
ipe,37.21,52.31,28.84,42.86,33.95,4.82
irai,16.97,22.3,43.67,45.55,39.36,32.15
itaara,15.77,40.61,72.17,57.88,12.07,1.5
joia,1.66,18.37,41.6,59.43,56.74,22.2
lagoao,5.07,8.98,22.82,28.53,72.11,62.49
lavras do sul,54.65,58.48,32.62,29.73,12.72,11.79
liberato salzano,0.39,4.38,22.65,85.11,76.96,10.51
lindolfo collor,72.29,60.42,26.49,39.0,1.21,0.57
machadinho,10.12,55.58,51.71,35.45,38.17,8.97
manoel viana,9.62,7.82,68.72,79.6,21.67,12.57
maquine,-,34.02,56.76,62.7,43.24,3.27
marcelino ramos,29.38,44.91,46.43,44.91,24.2,10.18
mata,0.7,33.51,51.35,34.33,47.95,32.16
minas do leao,68.98,67.77,27.08,31.86,3.94,0.36
morro redondo,15.56,30.84,53.99,50.43,30.44,18.72
morro reuter,50.7,64.68,47.84,35.01,1.46,0.31
nova bassano,48.37,51.23,31.9,43.64,19.73,5.13
nova palma,42.35,52.21,24.72,34.07,32.94,13.72
palmitinho,17.19,30.42,25.71,51.07,57.11,18.51
pantano grande,65.6,75.87,28.02,23.04,6.39,1.1
parai,39.98,50.61,39.36,48.37,20.66,1.03
paraiso do sul,15.41,31.01,37.85,58.41,46.74,10.59
passa sete,0.23,6.75,22.27,39.23,77.5,54.02
passo do sobrado,12.45,36.67,42.36,50.96,45.19,12.37
paverama,5.45,25.44,54.21,70.59,40.33,3.96
pedro osorio,70.63,33.99,23.49,64.42,5.88,1.59
picada cafe,53.99,67.7,44.76,31.66,1.25,0.63
porto lucena,14.76,11.17,59.06,83.37,26.18,5.46
progresso,16.97,17.3,30.65,46.69,52.37,36
rodeio bonito,18.9,20.24,46.36,76.33,34.74,3.43
rondinha,12.99,35.15,77.99,61.92,9.02,2.93
roque gonzales,5.64,18.25,79.88,79.14,14.48,2.6
salvador do sul,34.82,78.04,50.73,19.99,14.45,1.97
santa barbara do sul,12.55,24.62,63.81,66.07,23.64,9.32
santa clara do sul,32.66,51.15,49.64,44.47,17.71,4.38
