city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
sertao,7.68,6.1,1.33,1.21,5.46,4.03,23.98,15.42
sertao santana,8.59,7.15,2.35,1.59,8.09,6.02,17.49,16.15
tavares,16.91,14.4,2.91,2.44,14.95,10.03,37.99,35.11
terra de areia,11.81,7.25,1.44,1.3,8.35,4.42,37.94,23.58
tiradentes do sul,13.29,10.75,2.25,2.47,10.97,7.65,34.07,23.5
trindade do sul,16.06,11.56,2.77,0.92,14.46,7.85,43.1,33.11
tucunduva,6.58,5.22,1.36,1.01,5.02,2.7,18.51,14.62
tuparendi,6.67,5.16,1.2,0.89,4.84,3.09,19.37,12.82
vale real,2.54,3.02,0.36,0.67,1.71,1.88,11.31,11.9
viadutos,7.37,5.44,1.27,1.12,4.29,2.96,23.34,14.84
vicente dutra,14.6,10.97,3.84,1.79,12.24,8.4,42.36,28.25
de 10.001 a 20.000 ,8.77,6.33,2.03,1.18,7.27,4.58,25.02,17.42
agudo,8.46,6.78,1.76,1.41,7.69,4.89,20.37,17.96
antonio prado,6.31,4.81,0.98,0.89,4.2,2.47,22.67,15.59
arroio do meio,2.86,1.87,0.64,0.58,2.21,1.27,8.72,5.5
arroio do tigre,10.91,7.05,3.29,1.34,10.44,5.9,26.77,18.97
arroio dos ratos,10.82,7.11,2.26,1.76,8.03,4.73,33.95,20.74
arroio grande,11.97,8.2,3.17,1.75,10.7,6.32,28.71,20.15
arvorezinha,12.92,8.27,2.9,0.64,10.81,6.28,38.63,23.16
balneario pinhal,7.24,5.19,3.13,0.61,7.04,4.69,14.09,9.71
barra do ribeiro,9.48,7.03,1.31,1.48,7.52,4.88,27.2,19.14
barros cassal,19.03,15.14,5.37,2.4,18.91,12.6,45.96,39.64
bom jesus,9.55,7.94,3.42,1.82,8.26,6.33,23.02,18.71
bom principio,1.92,1.71,0.9,0.52,1.97,1.34,3.57,5.35
bom retiro do sul,6.32,3.47,1.15,0.37,5.34,2.16,18.67,12.01
cacequi,11,7.51,3.31,2.09,9.67,6.23,26.28,17.05
capela de santana,8.69,5.77,2.61,1.09,7.93,4.58,25.26,17.76
cerro grande do sul,14.81,9.85,4.95,1.8,12.92,8.67,39.7,27.27
cerro largo,5.46,4.44,1.11,0.57,4.64,3.51,13.72,11.16
cidreira,4.92,3.66,1.5,1.19,3.88,2.97,12.87,7.18
crissiumal,6.62,4.78,1.28,0.78,4.99,3.11,18.83,11.99
cruzeiro do sul,5.54,3.83,1.5,1.11,4.76,2.65,14.18,10.09
dom feliciano,15.52,12.21,5.45,2.28,15.09,10.96,32.1,29.55
espumoso,11.27,7.41,1.63,1.6,9.68,5.49,31.99,19.48
feliz,1.94,0.95,0.52,0.38,1.58,0.7,5.55,2.57
fontoura xavier,20.79,16.97,6.67,2.55,20.78,15.17,51.05,40.88
getulio vargas,5.75,4.12,1.4,0.91,3.89,2.54,18.65,11.9
girua,8.35,6.7,1.39,1.5,6.84,4.81,24.78,16.73
horizontina,4.95,2.89,1.08,0.52,3.81,1.86,16.46,8.99
ibiruba,5.3,3.44,1.28,0.75,3.97,1.96,15.99,10.8
imbe,4.54,3.17,1.29,1.27,4.11,2.13,12.21,8.0
ivoti,2.29,1.88,0.9,0.46,2.08,1.49,7.22,6.26
jaguari,8.07,5.82,1.35,1.05,5.94,3.65,21.14,14.46
julio de castilhos,8.36,5.65,2.68,1.29,6.96,3.98,23.21,16.02
mostardas,15.2,11.31,2.32,1.09,12.61,7.9,41.39,32.89
nao-me-toque,5.62,3.78,1.18,0.86,4.74,2.73,16.33,10.91
nonoai,16.75,11.02,4.71,2.03,14.28,8.32,47.24,30.1
nova hartz,5.7,3.35,1.38,0.52,5.13,2.25,25.51,17.18
nova petropolis,2.81,2.02,0.69,0.63,2.08,1.21,8.51,5.96
palmares do sul,11.53,8.18,2.26,1.55,11,6.09,28.15,19.48
pinheiro machado,13.8,9.81,2.99,1.08,11.71,7.5,32.57,23.79
piratini,15.59,10.39,2.54,1.02,12.29,6.42,39.64,27.42
planalto,13.79,11.29,3.46,1.06,11.61,8.8,38.05,29.61
porto xavier,13.71,11.13,1.82,1.97,11.78,6.87,41.1,34.15
redentora,19.53,16.28,8.71,4.78,16.62,14.59,48.06,42.15
restinga seca,10.39,7.11,1.45,0.91,9.18,4.91,24.98,18.93
roca sales,5.13,3.17,0.92,0.94,4.04,1.99,12.16,8.26
rolante,8.83,6.59,2.01,0.91,7.68,4.76,24.25,20.01
ronda alta,9.4,7.15,2.01,0.93,6.78,4.74,29.78,21.09
salto do jacui,12.33,8.57,2.56,2.26,11.12,5.94,38.7,27.86
sananduva,8.53,5.53,1.08,0.67,5.94,3.04,30.11,17.45
santo antonio das missoes,12.71,9.31,3.03,1.49,9.75,6.27,36.96,23.97
santo augusto,11.05,9.05,2.33,1.11,9.04,6.27,35.98,26.61
santo cristo,3.54,2.59,1,0.65,2.86,2.13,9.97,5.8
sao francisco de assis,11.26,8.68,1.72,1.44,8.87,6.39,30.93,21.03
sao pedro do sul,7.92,5.81,2.1,1.09,5.78,3.96,20.72,14.14
seberi,10.66,8.0,2.39,0.94,8.46,5.55,30.47,22.21
serafina correa,5.58,3.15,1,0.33,3.5,1.68,22.71,12.66
sinimbu,10.28,8.01,2.78,1.66,9.26,6.32,21.97,18.44
sobradinho,11.45,6.62,2.28,0.6,9.86,4.52,32.68,20.9
tapejara,6.69,3.69,0.8,0.57,4.24,1.92,27.47,16.24
tapera,7.1,5.18,1.15,1.12,5.96,3.4,20.77,15.34
tapes,10.41,6.98,2.92,1.56,8.86,5.09,27.2,17.59
tenente portela,12.03,8.56,3.63,1.53,9.88,6.52,32.66,22.27
tres cachoeiras,8.96,5.92,1.47,1.67,5.76,3.39,36.69,20.61
vale do sol,7.57,6.23,2.89,1.19,6.89,5.73,15.99,13.13
xangri-la,5.08,3.31,1.53,0.89,4.41,2.65,18.96,10.28
de 20.001 a 50.000 ,8.22,5.42,2.07,1.04,6.93,3.92,24.29,16.14
butia,12.61,8.46,2.11,2.21,11.11,6.29,34.87,24.03
cacapava do sul,12.12,8.25,2.74,1.41,10.36,6.18,29.1,19.82
candelaria,12.63,9.5,3.59,1.34,10.81,7.36,30.07,23.59
canela,6.7,4.21,2.19,0.85,5.75,2.99,22.13,15.61
capao da canoa,6.32,3.74,1.9,1.15,5.16,2.72,24.79,12.45
capao do leao,10.15,7.38,2.49,1.3,8.23,5.43,35.16,24.16
carlos barbosa,3.61,2.52,0.69,0.34,2.5,1.21,14.55,11.09
charqueadas,7.27,4.76,2.49,1.31,6.34,3.57,24.78,15.78
dois irmaos,2.64,2.04,0.85,0.39,2.31,1.38,10.9,9.51
dom pedrito,8.75,5.98,2.78,1.3,7.05,4.6,22.45,14.79
eldorado do sul,7.42,4.18,1.83,0.98,6.86,3.18,26.47,14.92
encantado,4.87,3.26,0.81,0.56,3.34,1.92,16.47,10.22
encruzilhada do sul,14.71,10.81,3.39,1.81,13.18,8.57,33.24,25.71
estancia velha,4.04,2.62,1.29,0.52,3.28,1.8,17.5,11.2
estrela,3.56,2.47,1.41,0.83,2.82,1.68,9.92,7.33
flores da cunha,4.66,3.16,0.94,0.52,3.64,1.97,17.75,11.65
frederico westphalen,7.57,4.64,2.1,0.68,6.16,3.39,24.76,14.83
