city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
joanesia,29.66,14.55,61.21,47.88,24.43,10.91
juruaia,13.1,3.3,47.72,17.74,5.44,0.41
juvenilia,49.74,31.07,26.66,17.52,15.7,7.93
lagamar,12.9,5.5,31.12,22.2,3.99,1.96
lagoa grande,19.24,7.89,26.73,15.49,7.49,0.57
laranjal,20.23,9.95,27.55,15.17,7.32,1.99
lassance,31.08,15.09,34.79,17.25,10.69,4.81
liberdade,26.57,17.68,28.23,21.16,11.44,5.8
limeira do oeste,16.54,9.14,37.75,21.01,5.3,1.36
lontra,43.02,18.88,20.49,10.53,11.62,2.87
luisburgo,27.76,12.81,79.32,60.0,22.59,8.77
luislandia,48.52,26.36,46.14,24.96,26.81,9.77
luminarias,14.26,10.12,32.84,25.06,4.98,2.89
machacalis,40.53,27.17,19.64,16.56,9.82,5.63
mamonas,43.97,19.0,18.17,12.35,9.51,4.99
maravilhas,14.03,10.75,14.58,10.9,2.75,2.8
martins soares,27.56,18.36,49.33,33.08,11.56,5.77
mata verde,55.43,36.24,15.84,15.34,10.56,7.82
matias cardoso,51.65,30.79,36.52,25.84,22.4,10.23
mendes pimentel,40.33,24.22,49.48,32.96,24.59,12.78
mesquita,37.25,21.28,43.77,27.0,19.97,6.18
moema,13.19,5.36,11.04,6.79,1.99,0.18
monsenhor paulo,18.96,11.31,29.13,18.35,8.78,3.36
montezuma,50.63,31.03,66.24,34.76,40.4,16.55
morada nova de minas,17.54,8.6,18.23,20.28,3.95,1.84
munhoz,20.28,12.47,36.17,4.57,5.76,0.21
naque,20.85,17.36,6.72,5.18,2.19,1.34
nazareno,14.89,10.4,16.95,11.88,1.94,1.32
ninheira,68.22,42.13,70.1,44.38,52.82,22.75
nova porteirinha,38.03,23.03,39.2,17.09,17.99,5.94
nova uniao,23.3,18.91,34.01,10.02,9.86,1.37
olhos-d'agua,41.01,18.63,44.96,23.33,22.84,6.33
orizania,29.01,13.91,61.24,49.13,19.38,7.68
ouro verde de minas,47.79,34.94,41.28,27.54,20.64,10.91
padre carvalho,59.68,37.6,32.67,26.6,26.61,15.74
pai pedro,60.5,40.82,59.06,42.25,41.33,19.79
pains,12.62,8.19,19.34,5.23,2.88,0.7
palma,24.23,11.27,30.07,16.2,10.31,2.58
palmopolis,50.11,32.83,43.67,25.59,26.13,8.08
passa tempo,13.34,2.65,27.61,18.33,4.76,0.41
patis,53.56,30.16,28.88,9.92,17.56,2.18
patrocinio do muriae,16,9.65,21.56,14.04,3.78,0.58
paula candido,23.74,11.48,43.02,28.55,12.73,5.19
pavao,49.31,29.15,36.96,29.54,22.83,8.76
pedra bonita,34.78,14.77,78.22,59.38,29.42,10.37
perdigao,15.18,7.19,15.02,6.16,3.47,1.16
periquito,31.58,18.15,25.89,7.96,10.53,2.23
piedade de caratinga,33.02,18.02,28.99,9.01,12.62,2.03
pimenta,13.56,7.74,18.12,4.04,2.66,0.17
pintopolis,42.64,20.23,57.97,34.8,28.22,8.17
piracema,26.45,10.7,37.16,22.72,8.72,4.96
pirangucu,14.58,6.23,36.07,11.95,4.3,1.82
piranguinho,11.63,6.69,28.72,3.18,5.7,0.96
pocrane,32.29,15.15,44.96,26.95,15.93,4.78
pouso alto,14.05,7.49,33.18,12.8,6.13,0.97
prados,12.71,6.15,16.78,9.75,3.15,1.35
pratapolis,11.18,6.14,12.56,4.78,2.53,0.51
presidente bernardes,28.95,16.94,70.01,46.17,23.63,8.58
prudente de morais,13.77,9.93,3.21,0.12,0.72,0.0
reduto,21.49,17.06,43.77,29.73,12.6,5.79
riachinho,29.58,11.66,51.89,27.7,17.75,2.92
riacho dos machados,52.39,32.26,47.45,44.09,30.12,19.89
rio acima,18.68,6.8,6.71,1.74,2.91,0.29
rio do prado,51.38,28.79,41.1,29.0,25.61,10.61
rio espera,25.23,17.78,65.54,49.38,20.03,11.11
rio manso,20.35,7.04,51.42,20.82,11.6,2.05
rio novo,22.78,11.06,10.13,3.85,4.03,1.01
rio preto,23.96,14.52,18.22,6.72,7.33,2.69
rodeiro,20.62,6.36,10.31,3.74,4.64,0.56
rubelita,45.87,27.12,51.06,38.98,26.3,13.14
rubim,47.71,33.99,23.06,19.75,11.53,6.01
salto da divisa,51.31,33.6,15.72,11.07,9.93,4.87
santa barbara do leste,24.68,14.9,57.19,30.4,13.92,4.77
santa cruz de minas,11.23,7.07,0.13,0.0,0,0.0
santa helena de minas,53.75,46.51,43.99,47.23,26.13,31.01
santa maria do salto,54.51,38.22,33.08,24.0,22.56,9.11
santa rita de caldas,10.27,7.67,39.54,28.62,4.31,3.58
santa rita de minas,30.98,20.8,37.2,12.66,12.31,4.52
santa rita do itueto,34.59,18.96,59.24,40.12,21.15,6.39
santana da vargem,24.63,10.66,44.84,30.42,17.03,5.07
santana de pirapama,29.05,15.96,61.02,51.42,19.11,7.98
