city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
ubaporanga,19.8,14.7,7.02,3.01,17.91,12.15,54.88,41.02
urucania,19.21,15.07,5.21,2.15,19.3,12.8,51.79,44.23
urucuia,22.42,13.52,5.48,2.01,25.76,11.78,58.7,44.81
varzelandia,35.24,24.45,11.26,3.87,39.81,23.52,76.43,67.14
vazante,10.58,7.37,1.82,0.65,8.47,4.6,50.04,31.95
virgem da lapa,27.75,22.16,4.9,2.3,28.68,19.01,71.53,61.29
virginopolis,15.34,12.93,3.48,2.17,14.29,10.08,39.57,36.32
de 20.001 a 50.000 ,15.83,11.22,4.46,1.66,15.14,9.11,43.05,33.77
abaete,12.45,8.72,3.53,1.09,10.98,6.7,33.75,23.99
aimores,19.69,14.49,4.65,1.97,17.89,10.83,47.62,38.61
alem paraiba,9.37,6.47,2.69,1.36,7.61,4.5,25.2,18.42
almenara,30.66,21.83,10.16,3.05,32.75,19.15,65.67,57.79
andradas,12.08,8.47,1.95,1.1,10.01,5.91,36.88,26.31
aracuai,23.66,17.35,5.57,2.48,23.17,13.56,61.02,52.48
arcos,7.65,4.94,1.38,0.75,5.87,2.89,32.59,20.04
bambui,11.87,7.62,1.99,0.54,9.83,5.24,32,22.06
barao de cocais,9.33,4.67,2.75,0.73,8.16,3.54,32.58,18.27
belo oriente,17.26,11.61,2.64,1.46,16.65,7.45,59.04,49.44
boa esperanca,11.86,7.69,2.84,1.21,9.88,5.42,38.02,24.98
bocaiuva,17.69,12.49,3.3,1.79,18.22,10.32,54.59,43.82
bom despacho,9.41,5.84,2.69,0.81,8.21,4.38,28.38,19.14
brasilia de minas,22.9,15.28,3.86,1.8,23.25,10.86,65.56,51.03
brumadinho,10.09,6.47,2.57,0.78,8.9,4.96,30.88,21.38
buritis,20.56,15.08,4.33,1.62,21.43,12.82,62.74,50.11
buritizeiro,20.64,13.81,6.54,1.91,21.95,13.05,59.32,44.49
caete,8.46,5.15,2.09,1.01,7.08,3.6,27.49,16.44
camanducaia,14.85,10.8,3.38,1.41,14.14,8.48,46.08,33.45
cambui,11.41,7.28,1.85,0.76,9.09,4.37,36.17,24.19
campestre,11.96,8.57,2.93,1.09,10.33,6.08,36.06,26.19
campos gerais,14.74,11.42,3.11,1.65,15.01,9.28,39.97,33.18
capelinha,26.7,18.94,7.97,2.03,30.64,19.09,65.67,59.22
carai,34.67,26.58,12.3,3.07,37.58,24.82,74.02,69.97
carandai,9.92,7.27,2.05,0.98,8.94,5.11,32.05,25.91
carangola,13.51,10.15,4.78,2.05,11.91,7.95,31.85,26.14
