city,total,suitable,semi_suitable,inappropriate
guaraciaba,2917.99875239,819.63282629,1983.86917087,114.49675523
guaraciama,1440.0,14.31547775,1420.15553867,5.52898358
guaranesia,5911.99999999,4536.60161184,1371.38599567,4.01239248
guarani,2652.36040418,1640.88076946,980.8159997000001,30.66363502
guarara,1265.51640108,883.80743331,377.48967419,4.21929358
guarda-mor,2081.52841554,979.36665146,1014.14961356,88.01215052
guaxupe,15607.50139534,12747.15402901,2812.54191604,47.80545029
guidoval,2313.24988776,1313.51983554,958.10197943,41.62807279
guimarania,2253.93729989,1618.57746142,596.95580378,38.40403469
guiricema,2909.64789284,1106.54019136,1749.64961644,53.45808504
gurinhata,2158.90135074,917.21542281,1197.85961616,43.82631177
heliodora,1962.00000001,1303.4814551,655.03241229,3.48613262
iapu,3280.0,1576.96089967,1634.9050399,68.13406043
ibertioga,1517.9666420999995,869.55111455,630.00673993,18.40878762
ibia,7589.01815571,5801.59574206,1692.14321398,95.27919967
ibiai,2222.5483776,21.36085487,2125.63930835,75.54821438
ibiracatu,1661.99999999,171.65370725,1434.91894917,55.42734357
ibiraci,3646.43724728,2200.43624104,1407.62494039,38.37606585
ibirite,46236.34073976,31284.17412492,14941.6502536,10.51636124
ibitiura de minas,1167.99999998,733.88416268,420.86090914,13.25492816
ibituruna,866.99999999,693.15330158,173.84669841,-
icarai de minas,2547.43328471,469.77436219,1940.48792881,137.17099371
igarape,10356.24321681,5333.7918264,4952.93814056,69.51324985
igaratinga,2754.90598213,1903.36131206,825.19897017,26.3456999
iguatama,2711.0,2036.09686755,667.14095137,7.76218108
ijaci,1692.00000001,1144.17591228,547.82408773,-
ilicinea,3622.55123958,2616.14319078,959.49054044,46.91750836
imbe de minas,1923.00000001,325.26952606,1458.51028599,139.22018796
inconfidentes,2249.8081758000008,1055.50055992,1194.30761588,-
indaiabira,1943.99999998,252.03901104,1584.43500765,107.52598129
indianopolis,1951.0,1018.80666129,868.41851627,63.77482244
ingai,806.62610727,438.61272379,337.02429692,30.98908656
inhapim,7609.96255606,2146.58555224,5239.57567545,223.80132837
inhauma,1651.0,361.99799087,1285.15571314,3.84629599
inimutaba,2042.00000001,818.59177218,1124.51405812,98.89416971
ipaba,4663.44714619,2706.34407357,1952.3765028999999,4.72656972
ipanema,6001.14584674,3500.89392846,2410.56831634,89.68360194
ipatinga,72882.79767672,57921.51225931,14941.40094758,19.88446983
ipiacu,1412.0,1175.34097009,234.35184098,2.30718893
ipuiuna,3013.22457769,1514.83262134,1455.5736781,42.81827825
irai de minas,2011.37180608,1280.8407812,730.53102488,-
itabira,31729.4903634,24715.11279203,6833.41290816,180.96466321
itabirinha,3254.96175573,1850.74479415,1322.07926588,82.1376957
itabirito,13242.53118167,9613.60264456,3599.14557214,29.78296497
itacambira,1283.3573958,32.32705147,1165.02871948,86.00162485
itacarambi,4365.89454042,1119.40738878,3090.45286589,156.03428575
itaguara,3981.85453377,2683.3041419,1295.5459475,3.00444437
itaipe,3050.99999998,804.5879304,1958.56034812,287.85172146
itajuba,27908.88669137,21985.88570213,5923.00098924,-
itamarandiba,8967.07439281,4020.04264888,4601.24836489,345.78337904
itamarati de minas,1298.9587322999996,830.26552557,449.22583402,19.46737271
itambacuri,6446.93014789,2751.02821593,3341.47538723,354.42654473
itambe do mato dentro,693.99999998,264.9877255,415.13340722,13.87886726
itamogi,3404.00000001,2337.02145373,993.88156343,73.09698285
itamonte,4218.14447122,2164.36694544,2022.69458682,31.08293896
itanhandu,4358.99999999,3228.56844877,1125.49367601,4.93787521
itanhomi,3810.22139569,1897.15836751,1836.5313905,76.53163768
itaobim,6137.55457388,1248.07630215,4733.8835952,155.59467653
itapagipe,4407.45645924,2859.75212621,1454.12128196,93.58305107
itapecerica,6938.99999999,4656.96666368,2218.79070842,63.24262789
itapeva,2739.00000001,1258.38550335,1467.37397852,13.24051814
itatiaiucu,3078.0,1658.72559289,1398.40380446,20.87060265
itau de minas,4768.99999999,4232.83357435,529.36309198,6.80333366
itauna,26634.54821252,23615.95267843,2987.14021357,31.45532052
itaverava,1650.00000001,393.98094208,1207.89771408,48.12134385
itinga,3784.68054219,1351.45826418,2183.3248874,249.89739061
itueta,1850.0,820.01173018,989.23222755,40.75604227
ituiutaba,32360.47125128,27102.93391756,5146.89825853,110.63907519
itumirim,1860.00000001,962.02520804,881.03027652,16.94451545
iturama,11111.68941709,8389.4713537,2669.8311624000007,52.38690099
itutinga,1309.3228177,593.23954006,699.08206999,17.00120765
jaboticatubas,5396.4224501,2000.41090116,3202.77769308,193.23385586
jacinto,3723.46785185,1495.12944868,2171.70441477,56.6339884
jacui,2501.23023796,1284.87286947,1202.30875131,14.04861718
jacutinga,7110.21272829,5427.51092706,1652.39384318,30.30795805
jaguaracu,888.99999999,524.42159049,362.10976617,2.46864333
jaiba,8939.98828545,1248.04756611,7324.45599858,367.48472076
jampruca,1490.08401915,415.83280517,996.24509765,78.00611633
janauba,18363.74565505,2686.80255849,15504.30758349,172.63551307
januaria,17381.72201892,4430.11120292,12056.47295216,895.13786384
japaraiba,1166.41261876,701.02269409,457.28787242,8.10205225
japonvar,2303.41022415,-,2281.41107114,21.99915301
jeceaba,1682.96685034,577.70355692,1076.89404162,28.3692518
jenipapo de minas,1752.44866137,333.62121394,1226.4752306,192.35221683
jequeri,4047.99999999,1746.52392629,2131.15274066,170.32333304
jequitai,2452.18829505,18.48902222,2370.29679324,63.40247959
jequitiba,1583.99999998,281.71407664,1250.10832737,52.17759597
jequitinhonha,7093.55379645,2320.21381985,4420.39331538,352.94666122
jesuania,1560.49983966,930.37410245,610.08001407,20.04572314
joaima,4135.82374301,1997.14638903,1912.85777983,225.81957415
joanesia,1669.08773048,178.34707904,1399.04471744,91.695934
joao monlevade,22173.00000001,18628.98970325,3534.27147309,9.73882367
joao pinheiro,13577.799366100002,8741.37379374,4679.3874134,157.03815896
joaquim felicio,1238.57021115,258.72199741,882.94501031,96.90320343
jordania,3003.007074800001,1589.39216004,1325.65937374,87.95554102
jose goncalves de minas,1147.0,318.96328969,738.41463995,89.62207036
jose raydan,1298.44139205,297.18113416,893.31972974,107.94052815
josenopolis,1209.00000001,399.59835979,729.38237926,80.01926096
juatuba,6787.0268948,2881.15257613,3888.88729531,16.98702336
juiz de fora,170487.03731984,138579.58521705,31720.73151159,186.7205912
juramento,1195.81621244,407.2018014,747.80013427,40.81427677
juruaia,2811.62641186,1204.14828799,1563.0901900000001,44.38793387
juvenilia,1510.62320961,112.54625293,1330.32847482,67.74848186
