city,total,regular,military_and_gov,irregular,employers,entrepreneur
santa clara do sul,250,300,700,200,500,200
santa cruz do sul,350,320,600,200,1200,400
santa maria,380,350,840,160,1700,400
santa maria do herval,260,251,330,280,500,250
santa rosa,302,325,600,151,1000,302
santa tereza,370,347,520,180,0,500
santa vitoria do palmar,280,264,380,151,1500,300
santana da boa vista,151,181,246,151,8000,151
santana do livramento,260,250,600,151,1500,300
santiago,279,250,700,151,1150,300
santo angelo,300,310,690,151,1200,300
santo antonio da patrulha,250,261,400,151,1000,300
santo antonio das missoes,200,230,317,151,1500,200
santo antonio do palma,300,300,611,280,6000,300
santo antonio do planalto,300,300,467,150,450,302
santo augusto,225,268,450,150,1200,250
santo cristo,269,300,400,151,800,250
santo expedito do sul,200,200,505,151,1000,151
sao borja,280,300,550,151,2000,300
sao domingos do sul,300,300,380,140,1000,500
sao francisco de assis,200,200,400,151,800,200
sao francisco de paula,280,282,360,160,1500,300
sao gabriel,240,230,700,151,1000,250
sao jeronimo,300,320,500,180,1000,300
sao joao da urtiga,200,184,400,150,1950,200
sao joao do polesine,300,300,400,151,1500,450
sao jorge,300,250,900,151,151,420
sao jose das missoes,150,250,360,150,6000,120
sao jose do herval,220,300,415,151,2000,150
sao jose do hortencio,300,288,450,302,600,300
sao jose do inhacora,220,180,600,151,350,300
sao jose do norte,190,220,380,151,800,151
sao jose do ouro,300,300,580,150,500,300
sao jose dos ausentes,200,200,650,151,1000,300
sao leopoldo,400,400,700,240,1500,450
sao lourenco do sul,220,240,450,151,1500,200
sao luiz gonzaga,275,300,620,151,1500,300
sao marcos,400,400,413,200,1200,450
sao martinho,250,280,420,150,1000,300
sao martinho da serra,200,230,800,151,2000,151
sao miguel das missoes,200,220,350,150,1200,200
sao nicolau,151,185,410,100,500,151
sao paulo das missoes,200,211,350,105,750,154
sao pedro da serra,300,280,400,350,2500,250
sao pedro do butia,300,302,421,151,1036,300
sao pedro do sul,200,236,600,151,750,151
sao sebastiao do cai,350,350,400,200,1000,400
sao sepe,225,240,500,151,1000,300
sao valentim,200,300,299,150,1400,160
sao valentim do sul,350,300,400,260,700,400
sao valerio do sul,151,330,254,151,500,120
sao vendelino,320,300,700,280,2000,320
sao vicente do sul,226,226,500,151,2000,300
sapiranga,300,300,500,250,1000,400
sapucaia do sul,390,400,500,230,1000,400
sarandi,300,280,700,150,1500,300
seberi,185,236,390,100,1000,160
sede nova,180,230,417,120,226,210
segredo,200,300,390,150,500,200
selbach,304,250,380,151,750,450
senador salgado filho,200,220,341,150,1200,200
sentinela do sul,220,250,302,151,1200,200
serafina correa,350,300,400,214,1000,500
serio,190,255,375,150,400,190
sertao,295,300,350,150,1200,300
sertao santana,300,300,400,225,1000,300
sete de setembro,151,250,300,150,2000,150
severiano de almeida,300,300,500,150,1000,350
silveira martins,250,272,700,151,400,300
sinimbu,277,255,500,150,800,288
sobradinho,300,300,500,151,1500,300
soledade,270,300,500,151,1200,300
tabai,220,250,350,180,1000,225
tapejara,270,250,540,151,1000,400
tapera,300,272,478,151,1000,331
tapes,270,280,450,151,1100,300
taquara,320,302,550,225,1000,400
taquari,300,305,400,185,1000,300
taquarucu do sul,200,260,450,120,1000,151
tavares,180,290,300,151,15000,151
tenente portela,200,260,397,150,1000,150
terra de areia,300,300,360,200,1500,300
teutonia,300,300,800,220,800,300
tiradentes do sul,175,200,310,100,2680,166
toropi,200,200,370,150,2000,180
torres,310,330,550,200,1300,350
tramandai,340,350,590,250,1000,350
travesseiro,278,270,305,151,700,250
tres arroios,300,300,375,180,1500,300
tres cachoeiras,302,340,600,200,800,300
tres coroas,300,300,550,194,1000,300
tres de maio,264,300,500,151,900,250
tres forquilhas,258,290,382,192,400,240
tres palmeiras,151,250,450,100,0,120
tres passos,300,300,597,151,1200,300
trindade do sul,200,280,400,100,700,200
triunfo,300,302,530,200,3000,300
tucunduva,300,300,500,151,700,300
tunas,192,250,280,151,1000,180
tupanci do sul,250,300,340,150,0,250
tupancireta,200,210,450,151,1000,300
tupandi,300,300,480,250,4000,300
tuparendi,200,300,380,150,1300,200
turucu,225,240,247,151,450,250
ubiretama,200,293,371,110,500,165
uniao da serra,370,320,627,190,4500,400
unistalda,179,180,420,100,9000,200
uruguaiana,300,300,700,180,1500,300
vacaria,300,280,600,180,1500,400
vale do sol,300,300,512,151,750,348
vale real,320,340,350,250,1000,400
vale verde,240,302,360,200,3000,200
vanini,250,220,530,211,250,250
venancio aires,256,270,380,199,1000,226
vera cruz,260,277,400,151,800,300
veranopolis,300,300,600,200,1000,500
vespasiano correa,320,260,600,350,0,400
viadutos,300,300,350,151,1000,302
viamao,350,350,600,250,1000,400
vicente dutra,160,300,250,130,700,170
victor graeff,300,300,375,151,1500,300
vila flores,300,300,550,200,1000,300
vila langaro,250,345,500,200,1000,250
vila maria,300,300,290,100,1000,450
vila nova do sul,180,250,385,107,800,200
vista alegre,200,302,477,100,330,160
vista alegre do prata,350,350,500,248,4300,302
vista gaucha,300,302,430,151,500,300
vitoria das missoes,151,302,307,100,0,151
xangri-la,380,320,500,280,1000,400
