city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
leoberto leal,13.19,10.4,5.25,1.78,12.86,9.98,30.66,23.96
lindoia do sul,8.26,5.44,2.05,0.72,6.35,2.94,28.6,17.93
macieira,11.02,9.63,3.48,0.94,9.07,7.15,34.46,31.67
major gercino,10.36,7.52,2.29,0.36,7.66,5.3,29.58,22.54
marema,13,8.39,2.57,2.05,9.96,5.57,42.55,23.96
matos costa,13.87,10.81,5.14,2.55,15.54,11.8,29.91,19.67
mirim doce,10.94,7.93,2.74,0.77,10.56,6.45,26.33,19.74
modelo,8.27,6.58,2.99,0.89,7.34,5.59,21.2,17.06
morro grande,10.59,6.06,1.93,0.88,8.99,5.12,39.3,19.2
nova erechim,8.16,5.74,2.15,0.67,6.71,4.12,26.24,20.12
nova itaberaba,14.69,9.1,4.15,0.43,13.69,8.19,39.78,25.1
novo horizonte,12.71,12.99,1.23,0.99,12.29,11.1,34.02,32.8
ouro verde,11.22,11.69,2.3,1.53,10.34,9.8,35.35,35.57
paial,11,9.23,3.15,0.98,8.93,6.69,34.92,28.28
painel,13.5,10.06,6.18,3.41,12.9,9.61,29.03,18.51
palmeira,15.2,11.29,3.41,1.37,15.58,9.84,34.78,25.84
paraiso,12.48,11.07,3.59,1.65,11.87,8.75,31.57,28.36
passos maia,16.91,9.64,5.05,1.03,18.76,8.98,40.2,27.46
pedras grandes,6.94,5.04,0.58,0.75,5.12,3.78,23.13,13.94
peritiba,4.7,2.11,1.71,0.86,4.07,1.03,11.32,6.1
pinheiro preto,5.33,4.62,1.68,0.66,4.08,3.6,17.47,14.81
piratuba,4.97,5.4,0.55,0.37,3.74,3.64,21.91,16.35
planalto alegre,13.87,11.96,2.42,2.33,11.8,9.71,44.04,33.14
ponte alta,14.04,11.28,4.9,1.32,13.88,10.4,32.86,28.57
ponte alta do norte,14.18,9.61,4.45,1.42,13.94,8.82,38.74,29.28
presidente castello branco,6.53,4.7,1.9,-,4.59,3.18,21.85,13.77
presidente nereu,13.44,11.4,1.72,2.73,12.72,10.03,35.63,26.96
princesa,11.63,10.36,1.82,1.36,11.04,9.25,30.65,27.64
rancho queimado,13.67,6.98,3.01,0.23,12.31,6.14,34.33,17.53
rio fortuna,4.36,2.89,1.25,0.48,3.21,2.42,14.35,7.95
rio rufino,12.25,9.51,5.42,1.97,10.69,8.41,36.26,25.56
riqueza,11.23,8.42,2.91,1.1,10.04,6.76,31.42,21.78
saltinho,17.52,13.98,3.59,0.88,18.59,12.28,44.88,36.23
salto veloso,8.87,7.33,1.81,1.62,7.56,5.24,31.58,24.33
santa helena,9.86,9.82,1.44,1.75,8.32,7.75,31.43,25.93
santa rosa de lima,6.31,4.83,1.55,0.27,6.13,3.93,15.26,14.08
santa terezinha do progresso,15.93,13.18,3.11,1.91,16.32,11.18,38.23,30.86
santiago do sul,13.05,11.41,2.89,1.54,11.84,8.8,39.16,32.37
sao bernardino,13.38,11.52,4.35,1.94,12.71,10.09,42.93,29.45
sao bonifacio,6.18,3.71,1.94,1.61,3.3,2.11,20.13,9.64
sao joao do itaperiu,9.3,6.57,1.96,0.5,7.85,5.0,27.83,21.62
sao martinho,6.46,4.16,1.2,0.77,5.49,3.3,15.27,10.08
sao miguel da boa vista,13.01,11.08,2.62,0.35,12.21,8.28,31.73,28.98
sao pedro de alcantara,9.6,5.88,0.69,0.98,7.29,4.41,25.68,17.56
serra alta,9.9,6.14,2.59,1,8.87,4.83,26.09,17.59
sul brasil,12.65,13.49,2.81,1.82,11.96,11.03,35.98,35.53
tigrinhos,13.88,10.26,4.44,1.01,11.07,8.96,40.2,24.72
treviso,5.14,2.27,0.36,0.17,3.03,1.16,22.42,9.6
tunapolis,3.04,3.89,1.67,1.22,2.4,3.49,8.65,8.23
uniao do oeste,12.58,9.81,1.84,0.8,10.66,7.08,39.81,28.19
urupema,9.39,6.97,4.02,1.68,8.04,5.31,26.34,18.23
vargeao,10.75,8.49,2.44,0.96,9.83,7.64,36.16,22.77
vargem,11.62,13.86,3,3.01,10.08,11.74,38.03,34.33
vargem bonita,9.17,6.97,2.22,0.95,8.15,5.93,34.94,22.75
witmarsum,5.46,4.85,1.39,1.13,4.92,4.12,15.53,13.4
xavantina,9.32,6.47,1.45,1.04,6.6,4.13,35.35,20.98
zortea,7.67,7.17,0.88,0.8,7.36,5.07,30.6,25.14
de 5.001 a 10.000 ,9.02,7.06,2.39,1.28,8.13,5.82,26.11,19.75
agrolandia,7.18,5.11,2.18,0.8,6.8,4.4,18.45,14.44
agua doce,9.28,7.2,2.31,1.13,8.72,5.77,25.76,20.34
aguas de chapeco,14.3,6.4,3.92,1.38,13.4,5.02,35.85,19.07
aguas mornas,8.95,5.84,1.61,0.68,8.89,4.79,21.73,16.69
alfredo wagner,13.01,9.4,3.82,1.21,12.71,8.38,33.06,26.83
anchieta,11.31,7.21,2.5,1.1,9.59,6.11,35.04,18.64
angelina,13.21,10.49,3.47,1.65,14.08,9.23,24.49,22.87
anita garibaldi,15.3,13.26,2.88,1.92,13.74,10.35,41.83,35.09
antonio carlos,6.55,4.11,1.18,0.63,5.04,2.78,22,14.1
apiuna,11.32,5.91,2.54,1.06,10.88,4.68,33.06,19.61
armazem,11.89,5.8,2.4,1.2,9.42,5.0,35.29,15.09
ascurra,4.65,4.09,0.87,0.38,4.35,3.27,13.29,12.43
aurora,4.53,4.6,0.97,0.6,4.14,3.62,12.84,14.18
balneario arroio do silva,7.34,4.94,1.45,1.46,6.21,3.67,20.96,12.15
balneario barra do sul,6.83,3.71,1.25,1.16,6.64,3.19,16.24,6.71
balneario gaivota,9.63,6.3,2.41,1.24,7.22,4.18,28.98,17.44
bela vista do toldo,8.48,5.47,2.52,0.77,7.74,4.49,27.37,19.01
bom retiro,13.26,10.2,4.47,2.12,13.61,10.2,29.75,23.26
caibi,9.99,8.39,1.93,0.85,8.65,7.15,29.81,22.41
campo belo do sul,19.77,14.43,4.92,2.44,19.57,11.63,49.38,40.09
campo ere,16.62,13.12,5.65,2.14,16.17,12.01,42.17,32.46
catanduvas,10.08,6.17,3.54,1,9.71,4.75,31.52,21.69
descanso,9.02,5.41,2.49,1.06,6.84,3.84,29.56,15.06
grao para,6.82,4.86,1.6,0.44,5.54,4.42,24.55,13.75
imbuia,9.12,6.52,1.64,1.83,7.84,4.93,35.98,22.24
ipora do oeste,4.39,3.33,1.75,0.52,3.67,2.92,12.26,8.42
ipuacu,17.62,11.0,5.19,2.59,16.97,9.73,50.61,32.57
ipumirim,8.58,5.1,2.16,0.96,6.86,3.77,28.68,15.14
irani,9.65,7.37,2.3,1.48,8.75,5.41,33.59,26.15
ita,7.74,6.11,1.52,1.03,7.15,4.45,26.39,18.69
laurentino,5.9,3.93,0.73,1.29,5.9,3.15,15.27,12.04
