city,total,adequada,semi_adequada,inadequada
tres ranchos,942.10773728,310.16834552,626.80926986,5.1301219
trindade,31935.2362297,12778.90263403,19002.85182881,153.48176686
trombas,1160.05074107,-,1123.74660496,36.30413611
turvania,1724,235.57214876,1485.09785796,3.32999328
turvelandia,1378.99999997,178.53146808,1155.2954203,45.17311159
uirapuru,993.66047087,150.40668496,820.75080636,22.50297955
uruacu,11682.3628056,4115.9304838,7483.68079772,82.75152408
uruana,4733.07738303,470.91479166,4180.83498758,81.32760379
urutai,1029.99999999,10.79654752,978.91491351,40.28853896
valparaiso de goias,39379.43650681,17664.30723272,21599.57009256,115.55918153
varjao,1270.68393641,21.688015,1234.49097133,14.50495008
vianopolis,3990.99999997,622.39410079,3316.63073542,51.97516376
vicentinopolis,2351.69658337,49.173538,2289.60734881,12.91569656
vila boa,1401.32995929,208.54683342,1127.65035519,65.13277068
vila propicio,1472.17126451,16.68194625,1394.81956009,60.66975817
