city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
santa mariana,4387,102,362,2980,109,833
santa monica,968,0,54,175,120,619
santa tereza do oeste,2683,53,332,1084,227,987
santa terezinha de itaipu,5467,110,570,2674,276,1837
santana do itarare,1195,11,143,321,64,656
santo antonio da platina,12104,414,1046,6524,531,3590
santo antonio do caiua,1003,12,117,420,0,453
santo antonio do paraiso,786,4,86,363,38,295
santo antonio do sudoeste,3690,55,467,1629,373,1166
santo inacio,1551,13,151,739,97,550
sao carlos do ivai,2112,43,173,1020,137,739
sao jeronimo da serra,2482,31,262,607,97,1485
sao joao,2154,91,328,952,150,633
sao joao do caiua,2003,46,177,1056,40,684
sao joao do ivai,3297,35,391,1888,67,916
sao joao do triunfo,2101,45,154,602,103,1196
sao jorge do ivai,1575,48,244,534,177,572
sao jorge do patrocinio,1449,31,111,494,138,674
sao jorge d'oeste,2003,17,316,834,52,784
sao jose da boa vista,966,20,93,378,51,424
sao jose das palmeiras,1114,15,161,485,39,414
sao jose dos pinhais,61018,2267,4110,40495,3257,10889
sao manoel do parana,699,4,57,145,158,334
sao mateus do sul,8672,319,754,4750,296,2554
sao miguel do iguacu,5932,199,629,2756,266,2083
sao pedro do iguacu,1721,7,238,549,126,801
sao pedro do ivai,2834,26,325,1768,90,624
sao pedro do parana,826,12,101,374,47,292
sao sebastiao da amoreira,2456,31,194,1292,65,874
sao tome,1718,30,114,821,31,721
sapopema,1659,4,160,555,65,875
sarandi,22407,1157,2364,12508,877,5502
saudade do iguacu,622,3,68,243,30,279
senges,4809,71,294,3090,185,1169
serranopolis do iguacu,805,3,79,287,121,315
sertaneja,1980,54,180,1083,88,575
sertanopolis,4660,164,483,2287,88,1639
siqueira campos,4399,93,414,2174,66,1652
sulina,544,15,105,174,24,226
tamarana,2391,30,239,758,191,1174
tamboara,1231,0,120,506,117,488
tapejara,4589,45,325,3008,53,1158
tapira,1328,8,93,536,65,626
teixeira soares,1677,32,115,1002,68,461
telemaco borba,16314,441,1444,10713,511,3205
terra boa,5008,91,358,3051,123,1386
terra rica,4334,89,521,1597,236,1892
terra roxa,4427,15,491,1741,234,1946
tibagi,4291,60,403,2386,134,1307
tijucas do sul,2840,34,213,1305,78,1210
toledo,30422,697,2673,20305,931,5816
tomazina,2544,30,267,881,63,1302
tres barras do parana,1980,28,284,546,219,902
tunas do parana,789,0,24,321,26,418
tuneiras do oeste,2641,26,181,1034,44,1356
tupassi,1725,22,301,701,137,564
turvo,2921,32,309,1213,205,1163
ubirata,5022,53,798,2053,197,1922
umuarama,29277,757,3061,14919,1210,9330
uniao da vitoria,13317,560,1130,8314,807,2505
uniflor,731,8,57,375,101,190
urai,3324,154,310,1630,34,1196
ventania,2165,15,101,1323,25,700
vera cruz do oeste,2249,44,382,860,62,901
vere,1666,30,173,662,161,639
vila alta,984,19,79,411,109,367
virmond,528,18,59,313,23,114
vitorino,1417,45,211,599,131,431
wenceslau braz,4043,219,374,1729,116,1605
xambre,1498,8,90,663,34,703
