city,total,adequada,semi_adequada,inadequada
paulo de faria,2877.9867225,2308.12307891,547.86203154,22.00161205
pederneiras,12280.67711458,9650.53695841,2481.46160907,148.6785471
pedra bela,1831.00000001,336.46312787,1485.60040573,8.93646641
pedranopolis,884.00000002,515.12479588,364.49409965,4.38110449
pedregulho,4804.00000001,3294.68575949,1477.80082321,31.51341731
pedreira,12703.93301271,10052.51307143,2651.41994128,-
pedrinhas paulista,901,692.94786225,205.26920312,2.78293463
pedro de toledo,3227.30319001,1522.98297839,1666.14638851,38.17382311
penapolis,18921.00000001,16260.78045517,2592.53107965,67.68846519
pereira barreto,8035.23770925,6748.13998125,1266.01596296,21.08176504
pereiras,2384.99999998,1423.99498868,932.94544142,28.05956988
peruibe,19292.45510258,11906.45045632,7367.39154458,18.61310168
piacatu,1629.55683515,1301.24173893,328.31509622,-
piedade,15405.56721862,4531.96085808,10610.87659691,262.72976363
pilar do sul,7786.16164125,4671.68513521,3067.68030863,46.79619741
pindamonhangaba,42984.73092343,33721.03734228,9230.93255794,32.76102321
pindorama,4813.99999998,3913.73640702,887.24499154,13.01860142
pinhalzinho,4218.98885057,1676.60721481,2514.1862542,28.19538156
piquerobi,1202.00000001,702.4968435,485.35388658,14.14926993
piquete,4412.82836327,2835.57110594,1572.14769685,5.10956048
piracaia,7825,4340.06362852,3413.18337412,71.75299736
piracicaba,112723.99457579,92708.91469295,19991.4259837,23.65389914
piraju,9298.00000001,7398.6695023,1856.44522858,42.88526913
pirajui,6544.00000002,5212.69147151,1321.78503694,9.52349157
pirangi,3387.00000001,2710.7993745,671.68296831,4.5176572
pirapora do bom jesus,4388.99999999,2027.73753249,2343.78040259,17.48206491
pirapozinho,7731.97337107,6230.55681415,1494.19256637,7.22399055
pirassununga,22593.99999999,18720.63246591,3760.60787709,112.75965699
piratininga,3683.84533593,2647.91040167,1001.13578441,34.79914985
pitangueiras,10635.00000002,8125.57357357,2481.72197741,27.70444904
planalto,1417.99999999,1029.39689782,386.7296903,1.87341187
platina,1043.00000001,675.63679335,358.05365852,9.30954814
poa,30546.35563033,20858.32123594,9664.56252775,23.47186664
poloni,1812.75159625,1417.55869423,368.68629051,26.50661151
pompeia,6362.00000001,5224.87000608,1112.07574496,25.05424897
pongai,1205.22068341,926.35067784,278.87000557,-
pontal,11683.72871209,8160.6896092,3523.03910289,-
pontalinda,1314.19393624,997.63190437,313.26912457,3.2929073
pontes gestal,845.00000001,686.08944144,158.91055857,-
populina,1503.99999998,1148.57838098,343.5166408,11.9049782
porangaba,2798,1338.88097786,1430.30692935,28.81209279
porto feliz,14560.38148063,10195.81042973,4322.1483468,42.4227041
porto ferreira,15871.72299748,12923.70886358,2937.93539735,10.07873655
potim,4635.46989488,3046.43467405,1589.03522083,-
potirendaba,4984,3909.0205009,1065.05419527,9.92530383
pracinha,510.00000001,364.69247342,145.30752659,-
pradopolis,5093,3841.85709101,1185.75100481,65.39190418
praia grande,83541.36130683,59697.48484714,23843.87645969,-
pratania,1374.00000002,890.76147031,462.86161595,20.37691376
presidente alves,1345.58918783,995.00902717,338.68875657,11.89140409
presidente bernardes,4534.02590071,3053.73074591,1398.44380398,81.85135082
presidente epitacio,13152.71891876,9765.4389535,3298.27058239,89.00938287
presidente prudente,67799.8264758,59948.7610519,7809.13111626,41.93430764
presidente venceslau,12381.05097028,10916.18604535,1397.91593968,66.94898525
promissao,10951.83761767,8062.51185819,2753.90333085,135.42242863
