city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
ribamar fiquene,26.97,21.84,10.25,3.43,30.13,21.89,67.16,63.13
sambaiba,29.81,22.05,13.41,6.1,31.31,20.35,65.73,56.9
santa filomena do maranhao,44.15,31.59,24.11,7.04,51.36,37.05,83.33,68.76
sao domingos do azeitao,30.75,29.99,13.74,11.06,33.72,32.1,63.88,64.02
sao jose dos basilios,38.81,32.47,18.8,8.03,45.44,36.12,70.96,67.22
sao raimundo do doca bezerra,41.49,38.16,26.7,14.01,46.05,44.6,73.6,75.11
sao roberto,44.65,34.74,31.05,11.74,48.49,41.22,75.09,68.06
tasso fragoso,23.76,17.8,9.97,4.92,23.36,17.5,61.19,51.99
tufilandia,42.41,34.12,22.76,9.22,48.72,35.3,74.49,72.37
de 10.001 a 20.000 ,35.83,27.75,18.14,7.77,39.58,29.9,70.3,63.93
agua doce do maranhao,41.24,36.03,23.53,13.76,44.24,38.71,72.83,70.7
altamira do maranhao,39,32.98,22.47,8.37,42.34,37.99,71.53,68.61
alto parnaiba,23.31,21.19,11.07,5.17,24.28,21.47,52.43,54.2
anapurus,39.41,29.9,20.42,8.87,43.74,33.36,75.4,67.42
apicum-acu,29.31,18.69,15.12,5.18,30.92,20.85,63.76,49.06
araguana,39.7,28.15,22.19,8.83,45.03,29.95,72.01,67.39
axixa,21.03,16.33,5.07,3.15,23.8,15.94,53.4,45.98
bacabeira,28.18,18.3,10.76,4.02,31.85,18.62,68.49,57.81
bacuri,33.55,23.66,15.76,5.99,34.8,24.47,70.43,59.09
barao de grajau,33.66,22.7,15.56,4.38,36.61,23.35,66.88,56.57
bela vista do maranhao,36.16,29.44,16.57,8.78,40.85,30.69,71.88,70.14
bom lugar,42.32,32.11,21.32,7.4,49.07,35.12,78.5,74.79
buritirana,38.41,28.45,18.23,7.28,43.09,29.23,77.95,66.32
cajapio,35.95,25.58,19.05,10.18,40.85,26.63,64.36,55.15
cajari,19.43,21.74,9.17,8.01,19.1,23.32,49.6,49.8
campestre do maranhao,30.54,21.23,11.27,3.8,36.27,23.1,71.65,60.1
candido mendes,28.03,21.45,16.04,7.62,29.42,22.97,58.66,51.31
capinzal do norte,40.61,32.19,21.02,9.58,44.2,33.8,72.93,64.0
cedral,21.22,17.24,6.46,3.98,21.77,16.83,57.89,44.08
centro do guilherme,40.08,28.8,22.92,9.71,46.57,34.15,75.51,73.04
centro novo do maranhao,43.41,25.39,26.72,9.79,49.97,28.43,77.73,66.08
cidelandia,32.84,24.29,14.75,4.7,38.06,24.73,66.79,63.71
conceicao do lago-acu,40.5,34.88,27.36,13.92,44.68,39.73,69.49,69.02
davinopolis,31.35,25.01,10.71,4.34,35.51,24.85,71.95,67.32
duque bacelar,46.52,31.97,25.1,9.67,52.42,35.85,82.52,70.43
esperantinopolis,36.97,30.9,17.68,8.07,41.5,33.69,73.6,65.68
formosa da serra negra,27.83,18.45,14.72,5.18,29.09,19.54,67.75,55.08
fortaleza dos nogueiras,23.84,15.94,9.91,2.0,26.27,16.6,64.11,49.64
fortuna,39.73,30.51,18.65,6.31,44.2,32.23,74.9,66.69
godofredo viana,28.79,16.95,16.54,4.67,30.79,17.99,57.4,48.78
goncalves dias,38.86,34.75,18.22,11.04,42.2,36.39,73.54,69.64
governador archer,39.46,31.48,19.28,8.02,43.56,33.59,73.33,67.27
governador edison lobao,27.89,19.63,9.7,3.79,31.78,19.8,65.93,55.79
governador eugenio barros,42.09,35.9,20.48,10.8,46.52,38.44,76.73,72.57
governador newton bello,46.44,36.23,28.63,11.78,52.2,42.02,75.15,73.77
guimaraes,16.22,15.79,4.35,3.34,15.03,13.09,45.89,43.36
igarape do meio,41.11,28.4,21.29,7.69,47.05,30.58,78.49,71.7
igarape grande,33.57,28.56,11.78,6.86,38.04,29.2,72.31,63.5
itaipava do grajau,48.37,34.17,35.01,11.98,53.63,39.93,76.63,74.39
jenipapo dos vieiras,50.5,34.15,34.53,14.51,54.87,36.9,81.37,73.83
joselandia,43.29,33.69,23.48,11.22,48.11,36.42,80.98,68.63
lago do junco,40,32.97,20.13,7.84,46.52,38.13,71.84,70.89
lago verde,42.85,33.02,21.97,7.34,50.52,37.94,76.78,71.63
lagoa do mato,40.68,33.04,20.69,8.48,47.23,37.33,74.55,71.11
lagoa grande do maranhao,48.88,35.34,36.48,15.52,53.24,41.7,77.54,65.2
lima campos,40.39,31.05,19.06,7.7,43.61,31.48,71.61,65.56
loreto,28.93,22.29,14.13,4.91,29.89,22.74,64.81,62.03
magalhaes de almeida,40.38,30.45,23.06,9.2,43.95,32.81,70.99,68.17
maracacume,32.91,25.47,17.74,7.05,37.06,27.46,66.24,63.5
maranhaozinho,40.4,27.58,19.91,9.62,47.25,30.61,75.83,69.04
mata roma,38.26,28.48,19.47,8.51,41.66,30.5,76.98,68.24
matoes do norte,51.45,34.03,28.47,10.41,58.33,38.75,85.66,72.75
mirinzal,23.38,16.76,8.12,4.47,25.31,15.58,58.48,45.91
morros,37.59,29.78,19.45,8.62,43.18,35.58,69.39,63.96
nina rodrigues,38.41,28.43,18.22,7.26,44.61,33.63,73.44,69.49
nova olinda do maranhao,36.48,28.0,18.29,5.09,40.76,30.39,73.49,71.38
olho d'agua das cunhas,42.06,34.43,23.03,10.89,46.39,37.36,75.29,68.17
olinda nova do maranhao,29.07,25.88,10.55,9.13,33.82,26.44,65.56,66.31
palmeirandia,32.48,26.15,13.45,6.15,35.78,26.77,73.7,67.08
passagem franca,42.13,35.41,25.42,10.84,45.35,39.29,70.04,66.69
pastos bons,32.25,24.41,14.35,5.65,35.2,25.38,62.87,55.89
paulino neves,44.81,30.14,25.19,8.18,50.18,35.95,74.64,67.54
peri mirim,28.4,22.49,10.17,4.9,29.43,22.14,65.09,56.76
pirapemas,42.39,30.09,22.84,9.1,46.35,32.64,75.18,67.59
pocao de pedras,38.32,31.61,19.78,7.79,43.9,33.83,71.73,65.66
presidente juscelino,43.29,28.34,23.14,6.24,49.19,34.03,75.4,69.12
presidente sarney,37.91,30.36,21.64,8.44,39.94,32.39,75,71.83
presidente vargas,41.83,28.75,20.85,7.17,47.8,32.72,78.65,67.76
primeira cruz,34.58,26.17,20.62,10.49,37.75,28.9,64.65,54.26
santana do maranhao,50.83,34.33,29.8,7.83,56.97,38.94,82.32,78.8
santo amaro do maranhao,36.75,24.54,18.82,6.55,42.04,29.43,70.03,58.51
santo antonio dos lopes,39.07,30.57,20.77,7.14,43.38,33.44,72.92,63.69
sao benedito do rio preto,40.2,31.01,19.46,10.66,44.88,33.65,77.86,67.47
sao francisco do brejao,27.09,26.65,10.14,6.33,31.8,27.81,61.68,65.5
sao francisco do maranhao,43.91,36.08,23.58,9.74,48.06,39.55,73.81,65.61
sao joao batista,30.39,22.03,10.37,4.7,34.58,21.05,64.97,56.79
sao joao do caru,52.92,34.87,39.26,12.53,57.18,40.18,83.65,73.65
sao joao do paraiso,22.01,21.15,8.24,5.68,23.87,20.37,56.16,52.84
sao joao do soter,48.57,39.71,26.45,10.23,54.03,43.12,82.77,77.61
sao pedro da agua branca,37.34,28.44,17.45,6.05,41.53,30.2,76.26,71.96
sao raimundo das mangabeiras,27.35,20.24,9.75,3.65,28.62,19.97,61.76,55.48
satubinha,46.99,30.35,29.44,9.19,52.88,35.54,78.33,66.91
senador alexandre costa,45.84,34.08,23.28,8.87,49.58,37.55,79.44,74.8
senador la rocque,38.7,29.55,17.02,8.02,43.29,29.53,78.14,68.54
serrano do maranhao,34.06,32.56,15.84,9.72,38.22,35.64,69.03,68.53
sitio novo,27.13,20.95,13.72,6.71,28.88,21.41,59.11,51.46
sucupira do norte,29.4,25.86,14.07,6.87,30.44,27.78,59.67,54.87
trizidela do vale,31.61,24.81,12.82,6.25,33.85,24.1,66.83,60.25
