city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
agudos do sul,19.54,10.97,33.89,21.1,9.38,4.08
amapora,20.83,15.68,10.69,12.24,2.44,1.72
antonio olinto,13.98,4.19,65.06,50.64,11.56,2.19
barracao,20.27,9.0,29.96,13.99,9.24,2.63
boa ventura de sao roque,25.53,14.07,73.42,56.6,19.2,9.43
boa vista da aparecida,23.74,16.5,36.2,27.74,9.79,4.53
bom sucesso,24.72,12.04,21.05,10.19,5.37,1.48
borrazopolis,18.06,5.83,30.51,17.86,6.17,2.14
braganey,20.81,12.69,35.93,22.27,8.78,2.45
california,14.62,6.74,19.66,14.22,3.49,0.75
cambira,17.63,5.95,32.05,12.27,8.01,1.49
campo do tenente,26.32,15.02,13.75,4.31,2.47,0.0
congonhinhas,30.77,14.07,28.73,33.08,9.01,5.84
coronel domingos soares,23.28,16.08,66.82,52.66,19.42,10.38
diamante do norte,18.72,8.25,23.29,12.11,5.63,1.55
diamante d'oeste,32.19,21.81,33.82,28.94,13.02,7.13
douradina,19.77,7.86,23.56,7.2,4.45,0.49
doutor camargo,10.98,4.82,14.26,1.7,1.73,0.0
doutor ulysses,34.3,14.59,53.83,33.92,20.31,6.68
eneas marques,17.26,5.93,72.57,20.55,13.41,1.91
fernandes pinheiro,15.32,8.92,42.57,20.82,8.67,1.12
figueira,20.08,11.28,11.58,6.55,2.7,1.07
florai,10.34,3.46,12.41,8.65,1.15,0.35
floresta,12.47,3.84,9.3,2.03,1.06,0.23
formosa do oeste,15.36,6.57,36.31,22.54,5.31,1.88
foz do jordao,24.69,13.99,23.43,12.1,6.49,1.13
francisco alves,18.78,10.02,32.82,18.3,6.26,1.16
goioxim,22.24,17.15,80.81,61.13,19.44,12.45
grandes rios,32.5,14.34,45.18,33.01,13.22,6.48
guairaca,25.62,10.12,25.96,15.18,6.32,1.17
guamiranga,13.89,7.41,67.16,29.06,8.5,2.71
guaraci,15.2,8.62,17.8,15.14,4.8,0.78
guaraquecaba,24.46,14.53,15.25,26.8,6.2,5.73
honorio serpa,22.71,10.63,68.24,41.8,16.72,4.86
ibema,20.46,16.47,17.28,10.47,4.96,1.55
icaraima,21.28,8.21,17.98,20.06,3.58,1.82
itaipulandia,15.08,9.37,5.53,0.14,1.01,0.14
itambaraca,26.29,15.1,12.5,7.18,1.55,2.03
itambe,13.49,10.07,10.38,1.57,1.56,0.22
ivate,19.63,7.2,25.89,9.7,4.98,0.78
janiopolis,30.35,15.58,30.48,17.32,8.82,3.03
japura,13.46,4.97,15.38,6.17,4.29,0.0
jesuitas,16.99,9.52,37.86,21.27,5.02,1.43
juranda,17.6,11.42,22.77,12.83,3.96,1.2
jussara,10.2,6.91,8.6,0.38,0.44,0.0
laranjal,36.31,25.62,75.27,53.26,29.01,12.73
lindoeste,24.65,12.74,52.92,45.91,12.81,5.05
luiziana,27.49,12.67,36.66,24.43,7.77,3.17
lunardelli,30.64,13.78,34.01,22.96,8.92,3.57
maria helena,25.36,12.14,35.47,20.67,7.87,1.03
marilandia do sul,17.86,7.47,32.14,20.61,4.92,1.66
marilena,19.08,10.72,29.21,17.74,8.95,2.96
mariopolis,14.02,5.11,20.27,8.18,2.53,0.41
maripa,8.53,3.91,30.85,9.78,1.45,0.28
maua da serra,23.68,11.3,12.7,6.71,5.26,0.67
mercedes,10.97,6.28,34.84,14.73,5.16,0.48
nova cantu,26.09,17.6,50.6,37.63,12.12,6.27
nova esperanca do sudoeste,17.76,10.44,67.91,33.25,13.24,3.88
nova fatima,22.14,14.57,18.14,7.28,4.75,0.61
nova olimpia,13.99,10.23,10.08,5.37,2.47,0.51
nova santa rosa,5.85,4.26,34.12,6.75,1.26,0.89
nova tebas,36.38,17.63,49.24,40.66,20.1,8.55
ouro verde do oeste,15.88,8.97,30.54,12.78,3.14,0.9
paula freitas,14.12,5.75,44.49,25.0,6.96,1.77
paulo frontin,6.98,2.84,45.78,27.98,3.78,0.76
perobal,16.67,8.35,30.81,18.1,5.81,2.32
perola d'oeste,18,11.62,47.44,17.11,10.78,3.73
pinhalao,20.26,9.46,43.86,23.01,9.57,0.65
pranchita,15.31,9.33,40,2.33,7.19,0.26
quatigua,11.95,5.37,6.55,4.34,1.31,0.21
quinta do sol,24.82,13.5,27.36,14.0,6.34,1.75
renascenca,20.66,13.05,39.17,34.92,8.4,7.12
reserva do iguacu,29.26,17.42,43.22,29.68,16.86,7.23
rondon,17.25,7.99,23.97,5.01,4.01,0.14
rosario do ivai,32.51,16.67,55.46,22.14,18.72,4.52
sabaudia,11.24,7.6,20.95,14.52,2.67,1.84
salto do itarare,20.88,12.6,34.34,21.1,6.19,2.74
santa cruz de monte castelo,20.02,9.52,23.44,19.37,4.27,1.17
santa isabel do ivai,16.05,8.51,24.02,10.8,3.06,0.65
santana do itarare,24.96,11.03,32.29,27.94,7.62,1.72
santo inacio,15.92,6.25,23.3,16.75,3.5,1.5
sao carlos do ivai,17.49,9.18,9.91,1.6,2.17,0.0
sao joao do caiua,26.66,13.3,12.82,4.51,4.32,1.5
sao jorge do ivai,10.4,5.88,20.4,8.95,2.2,0.51
sao jorge do patrocinio,17.42,8.67,19.77,2.55,4.69,0.26
sao jorge d'oeste,15.95,6.25,33.68,12.96,3.55,0.91
sao jose da boa vista,22.6,9.25,42.91,27.76,8.89,1.38
