city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
capitao leonidas marques,7.34,4.97,67.46,87.26,25.2,7.78
carambei,40.76,63.65,49.3,28.76,9.95,7.58
carlopolis,51.81,64.66,15.79,14.82,32.4,20.52
catanduvas,12.48,3.52,50.68,65.22,36.84,31.26
centenario do sul,2.36,6.67,84.25,84.2,13.39,9.13
cerro azul,22.06,32.78,26.1,33.8,51.84,33.42
ceu azul,21.75,46.77,54.09,39.76,24.16,13.47
chopinzinho,27.4,36.25,31.3,35.72,41.3,28.04
cidade gaucha,31.77,66.22,57.17,26.76,11.07,7.01
clevelandia,39.21,60.66,44.7,31.79,16.09,7.55
contenda,15.76,27.3,47.92,52.3,36.32,20.4
corbelia,25.85,46.18,54.84,42.2,19.31,11.62
cruz machado,10.89,20.01,20.5,39.23,68.62,40.76
curiuva,0.72,3.99,65.24,75.61,34.05,20.41
engenheiro beltrao,27.77,16.57,60.07,75.94,12.17,7.49
faxinal,17.73,17,63.1,72.92,19.16,10.08
florestopolis,3.2,70.47,84.47,28.33,12.32,1.2
general carneiro,22.84,40.79,56.07,52.04,21.08,7.17
guaraniacu,25.65,26.92,30.23,39.04,44.13,34.04
imbau,1.41,12.03,69.1,69.01,29.49,18.96
inacio martins,15.35,27.19,42.45,39.17,42.2,33.64
ipiranga,23.18,30.82,20.35,18.69,56.47,50.49
ipora,15.85,22.92,59.69,62.01,24.46,15.07
iretama,13.11,17.14,52.73,57.44,34.17,25.42
itapejara d'oeste,23.18,16.53,36.72,65.98,40.1,17.49
ivai,14.14,26.03,37.75,37.64,48.11,36.33
jaguapita,71.02,82.99,12.96,5.76,16.02,11.26
jardim alegre,4.81,39.37,67.19,32.03,28,28.6
jataizinho,76.68,87.19,13.08,5.73,10.24,7.09
joaquim tavora,68.8,72.91,17.78,19.21,13.43,7.88
mallet,23.9,21.18,41.82,47.07,34.27,31.75
mambore,18.4,42.8,58.24,40.81,23.36,16.39
mandaguacu,33.45,64.86,55.82,32.62,10.74,2.52
mangueirinha,20.48,33.06,35.34,38.8,44.18,28.14
manoel ribas,1.35,5.23,62.51,64.63,36.13,30.14
mariluz,4.42,46.22,81.11,39.07,14.47,14.71
marmeleiro,25.21,26.08,31.44,61.16,43.35,12.76
matelandia,8.39,51.51,74.46,44.08,17.15,4.42
missal,1.17,16.24,83.22,74.54,15.61,9.22
moreira sales,1.26,2.19,77.78,83.62,20.96,14.19
morretes,40.28,47.86,40.14,47.69,19.58,4.46
