city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
marialva,9.77,6.83,1.31,0.75,7.84,4.7,36.78,23.0
matinhos,5.8,4.23,2.01,1.11,5.4,3.37,18.47,11.74
medianeira,7.17,5.42,1.59,0.88,6.07,4.24,28.26,19.24
nova esperanca,11.5,8.78,2.03,1.27,9.45,5.84,35.72,28.22
ortigueira,27.8,18.33,8.22,2.64,30.05,15.93,61.65,48.65
paicandu,11.89,7.6,1.95,0.9,10.16,5.26,47.5,30.93
palmas,12.88,9.31,5.88,2.42,13.6,9.25,29.6,26.52
palmeira,7.01,4.23,1.95,0.94,6.31,3.4,21.23,13.39
palotina,7.84,5.82,1.19,0.82,6.99,4.53,27.08,18.22
pinhao,16.06,12.37,5.25,2.5,16.9,11.79,45.03,36.98
pirai do sul,10.33,6.7,1.89,0.95,8.86,4.78,32.42,22.57
pitanga,14.68,10.49,3.34,1.4,14.91,8.65,41.64,32.32
pontal do parana,7.1,4.83,2.68,1.19,6.68,4.34,19.07,10.8
prudentopolis,10,7.9,2.31,0.99,10.14,6.79,25.77,22.03
quedas do iguacu,13.89,11.14,3.49,1.9,13.94,9.71,42.32,33.14
reserva,21.67,14.76,6.71,2.22,23.46,13.51,48.52,40.43
rio branco do sul,16.74,10.47,3.52,1.47,17.39,8.93,54.24,39.96
rio negro,5.09,3.54,1.22,0.59,4.33,2.65,17.75,12.11
santa helena,8.75,7.7,2.72,1.24,7.82,6.01,27.05,22.29
santa terezinha de itaipu,9.69,7.26,1.98,1.23,9.62,5.6,34.61,25.87
santo antonio da platina,14.49,9.75,3.54,1.83,13.29,7.52,39.51,28.46
sao mateus do sul,6.25,3.84,1.7,0.73,5.57,2.9,20.57,13.96
sao miguel do iguacu,10.48,8.04,3.06,1.47,9.95,7.07,32.45,22.74
ubirata,15.09,9.63,2.28,0.93,11.83,6.34,48.12,31.14
de 50.001 a 100.000 ,8.82,5.96,1.57,0.85,7.67,4.13,33.69,23.39
cambe,9.45,6.39,1.19,0.65,7.58,3.68,37.98,26.14
campo mourao,10.68,7.31,1.51,0.86,9.4,5.14,38.16,27.09
castro,12.52,7.63,2.72,1.0,12.68,5.95,38.07,27.7
cianorte,10.39,5.58,1.33,0.7,7.91,3.22,37.9,23.15
fazenda rio grande,7.21,4.47,1.53,0.87,7.02,3.38,35.14,23.8
francisco beltrao,8.35,5.68,1.56,0.89,7.13,4.03,31.38,21.91
irati,6.85,4.56,1.5,0.94,5.65,3.14,22.71,15.9
paranavai,9.75,7.01,1.54,1.01,7.46,4.25,33.73,24.47
pato branco,6.78,4.23,1.58,0.65,5.85,3.17,25.93,15.98
piraquara,8.61,5.03,2.38,1.08,8.64,4.13,33.78,22.86
rolandia,9.52,6.17,1.34,0.75,8.3,4.21,30.82,21.57
sarandi,10.25,7.09,1.29,0.93,8.96,4.89,43.49,30.02
telemaco borba,10.46,7.36,1.75,0.85,9.43,5.26,35.72,28.01
uniao da vitoria,6.01,4.04,1.31,0.64,5.16,3.13,19.57,13.1
de 100.001 a 500.000 ,6.74,4.43,1.43,0.75,5.84,3.17,26.36,18.03
almirante tamandare,10.06,6.06,2.34,1.15,10.33,4.94,40.34,26.59
apucarana,9.57,5.9,1.4,0.68,7.83,3.73,34.85,21.75
arapongas,8.44,5.0,1.1,0.45,6.61,2.94,32.17,20.3
araucaria,5.78,3.55,1.03,0.6,5.13,2.53,28.22,17.97
campo largo,6.75,4.5,1.64,0.85,5.9,3.23,25.82,18.11
cascavel,6.99,4.46,1.28,0.7,6.39,3.4,29.06,18.29
colombo,7.22,4.65,1.58,0.81,6.89,3.47,32.49,22.14
foz do iguacu,7.48,5.64,2.14,1.15,7.2,4.52,33.14,22.9
guarapuava,8.74,6.0,2.58,1.05,8.46,5.1,27.37,19.89
maringa,5.39,3.27,0.65,0.45,3.72,1.74,24.19,13.95
paranagua,5.94,3.88,1.61,1.05,5.01,2.84,23,14.97
pinhais,5.84,3.35,1.12,0.62,5.16,2.23,27.63,15.95
ponta grossa,5.71,3.69,1.44,0.69,4.99,2.75,19.27,13.14
sao jose dos pinhais,5.69,3.4,1.42,0.67,5.25,2.5,24.37,16.05
toledo,7.57,4.6,1.21,0.65,6.55,3.16,28.95,19.13
umuarama,9.84,6.23,1.29,0.68,7.7,3.75,37.67,23.98
mais de 500.000 ,3.38,2.66,0.86,0.55,2.8,1.74,12.49,9.81
curitiba,3.38,2.13,0.86,0.51,2.8,1.44,12.49,7.68
londrina,7.07,4.51,1.17,0.67,5.63,2.8,26.11,16.33
