city,quantity
tocantins,4024
tocos do moji,1008
toledo,1150
tombos,3081
tres coracoes,19428
tres marias,7730
tres pontas,13723
tumiritinga,1534
tupaciguara,6194
turmalina,5166
turvolandia,1053
uba,23401
ubai,3733
ubaporanga,3066
uberaba,74660
uberlandia,160707
umburatiba,830
unai,22111
uniao de minas,1247
uruana de minas,1074
urucania,3333
urucuia,3185
vargem alegre,1744
vargem bonita,548
vargem grande do rio pardo,1627
varginha,31879
varjao de minas,1408
varzea da palma,11250
varzelandia,7350
vazante,5663
verdelandia,2504
veredinha,1859
verissimo,664
vermelho novo,1095
vespasiano,23806
vicosa,22825
vieiras,1031
virgem da lapa,4391
virginia,1989
virginopolis,3795
virgolandia,1972
visconde do rio branco,8881
volta grande,1364
wenceslau braz,675
