city,total,regular,military_and_gov,irregular,entrepreneur,employers
reboucas,783.48,835.76,1905.89,411.65,680.95,6481.29
renascenca,1200.88,1018.45,1365.39,652.95,1411.83,3325.12
reserva,880.93,895.4,1765.39,443.89,1349.87,2184.01
reserva do iguacu,907.45,956.95,1728.2,446.47,693.92,4892.55
ribeirao claro,1008.37,782.37,2701.23,526.95,1014.45,8755.67
ribeirao do pinhal,839.63,756.32,3083.88,431.73,1124.97,3266.8
rio azul,947.74,886.57,1581.05,1188.83,726.75,7561.4
rio bom,791.54,853.2,2470.25,620.46,784.21,-
rio bonito do iguacu,677.58,911.99,1288.36,532.83,623.48,1109.83
rio branco do ivai,725.74,740.3,955.62,353.29,555.82,8323.42
rio branco do sul,1003.88,1009.29,1263.36,662.71,1006.89,6237.31
rio negro,1104.51,1032.19,2094.11,697.92,1014.43,3968.9
rolandia,1176.42,1011.16,2411.74,728.52,1658.36,3351.25
roncador,917.72,802,1677.53,492.5,1233.87,4684.87
rondon,952.51,957.85,1064.31,516.68,1302.42,2584.94
rosario do ivai,797.9,924.03,1639.53,437.46,922.77,-
sabaudia,925.78,862.31,943.16,636.09,1240.23,2720.96
salgado filho,803.16,793.21,1276.98,498.22,795.21,2118.11
salto do itarare,677.41,729.29,2198.84,427.68,686.08,1323.74
salto do lontra,1041.44,1038.07,1633.21,600.57,1099.16,4632.37
santa amelia,683.77,719.63,1230.48,457.41,807.39,1197.58
santa cecilia do pavao,909.28,1065.89,1597.1,388.1,1111.12,2365.02
santa cruz de monte castelo,748.73,786.45,1251.8,536.4,643.8,3246.89
santa fe,982.56,827.54,1164.64,644.7,1457.52,3367.2
santa helena,1220.69,851.76,2125.87,653.59,1320.24,6388.75
santa ines,855.35,966.66,1076.74,451.61,859.06,4455.81
santa isabel do ivai,875.16,837.95,1410.15,583.99,1029.5,2355.38
santa izabel do oeste,886.65,856.65,1348.13,513.59,1010.29,2095.8
santa lucia,884.11,915.41,1083.54,414.64,1123.3,2617.23
santa maria do oeste,627.39,932.24,1316.63,418.22,585.23,2362.2
santa mariana,894.04,857.73,2475.16,455.46,1181.04,2313.53
santa monica,990.3,785.83,837.29,515.83,993.76,14454.29
santa tereza do oeste,987.81,860.18,1093.07,712.27,1430.92,3092.61
santa terezinha de itaipu,1110.38,952.09,1817.59,598.72,1598.52,2691.89
santana do itarare,826.27,781.83,979.75,413.16,1063.24,8402.26
santo antonio da platina,1194.26,896.29,2093.23,577.46,1934.68,4369.79
santo antonio do caiua,749.35,798.7,975.97,471.67,1113.55,2000
santo antonio do paraiso,807.86,815.33,1067.48,444.62,921.08,3086.86
santo antonio do sudoeste,933.7,881.82,1533.76,586.27,915.31,4256.63
santo inacio,1364.56,943.12,1376.82,471.57,1126.79,12221.95
sao carlos do ivai,1009.6,987.33,1505.66,601.45,1704.09,2335.69
sao jeronimo da serra,669.13,868.95,1320.77,425.59,721,276.68
sao joao,962.5,957.63,1543.78,525.2,1031.61,2117
sao joao do caiua,859.18,867,1103.46,430.17,1033.75,3217.74
sao joao do ivai,800.08,791.08,1722.99,442.65,932.62,2797.13
sao joao do triunfo,839.63,904.42,1504.39,442.55,903.69,3143.43
sao jorge do ivai,1043.19,905.46,1668.71,536.45,1540.07,3221.67
sao jorge do patrocinio,784.29,773.19,1700.32,575.17,940.5,2132.78
sao jorge d'oeste,973.61,955.66,637.04,557.42,1094.11,2987.78
sao jose da boa vista,678.7,787.82,1245.26,403.13,736.86,1683.14
sao jose das palmeiras,861.71,810.61,1521.05,597.08,889.55,2868.88
sao jose dos pinhais,1298.22,1203.95,2105.97,859.97,1420.73,4121.62
sao manoel do parana,1027.13,815.08,806.97,513.79,875.69,21595.99
sao mateus do sul,1111.77,1205.55,1562.64,549.91,1031.06,3985.49
sao miguel do iguacu,1259.26,960.95,1974.82,669.86,1581.58,4793.23
sao pedro do iguacu,973.82,855.63,2048.17,511.06,1450.83,3386.27
sao pedro do ivai,977.78,971.71,2100.28,493.45,1420.18,1495.23
sao pedro do parana,791.59,816.38,2399.5,546.03,727.56,3100.46
sao sebastiao da amoreira,945.13,959.77,2031.31,640.64,1096.35,1935.13
sao tome,971.45,839.02,1421.88,745.14,1316.83,1665.21
sapopema,1075.36,829.78,1311.46,478.08,1039,16084.98
sarandi,890.64,884.18,1017.5,686.26,1000.51,2716.56
saudade do iguacu,1126.73,1085.82,1580.25,685.62,1325.96,2549.54
senges,943.07,833.79,1723.09,493.02,1332.55,4051.47
serranopolis do iguacu,1345.17,774.78,1032.93,627.01,1803.01,2459.25
sertaneja,1040.15,945.94,1843.18,530.85,1179.12,4680.54
sertanopolis,1065.14,962.42,1847.48,709.96,1405.63,3521.01
siqueira campos,1056.96,822.9,1687.54,586.16,1258.7,6445.32
sulina,914.02,947.51,1295.01,600.82,1037.22,-
tamarana,755.5,850.92,924.78,469.11,774.7,3736.88
tamboara,807.72,807.91,1087.49,614.71,903.56,1871.25
tapejara,1004.55,968.25,1844.32,651.45,1180.87,3553.15
tapira,797.8,790.99,1104.73,481.14,860.03,2427.23
teixeira soares,893.72,832.84,1235.73,479.82,959.61,5000
telemaco borba,1354,1253.78,2266.39,701.81,1551.15,5407.63
terra boa,906.98,761.1,2174.06,620.99,1093.28,3719.1
terra rica,960.5,1036.28,1002.85,541.62,923.6,3328.95
terra roxa,900.99,800.24,1356.61,532.12,1172.89,2219.21
tibagi,1119.45,910.59,1636.06,543.7,1855.09,7102.53
tijucas do sul,883.47,919.35,1331.8,544.49,931.91,3784.04
toledo,1231.61,1045.86,2601.21,722.96,1390.68,3461.43
tomazina,719.79,776.07,2058.72,450.13,739.28,2323.75
tres barras do parana,903.4,851.71,1493.03,429.67,1028.45,2752.65
tunas do parana,986.97,787.68,1168.08,536.89,1227.48,14200.86
tuneiras do oeste,827.83,862.4,1103.53,551.93,1066.95,1000
tupassi,1017.69,913.64,971.31,564.21,1399.15,3481.53
turvo,963.37,901.38,1505.41,487.82,1242.47,4590.27
ubirata,1041.78,1063.97,1456.42,669.82,1376.79,1918.06
umuarama,1337.23,1121.96,3634.57,777.18,1607.73,4369.94
uniao da vitoria,1064.05,997.83,1783.65,588.22,1039.12,3765.53
uniflor,829.69,819.43,915.83,602.08,985.9,1620.16
urai,883.6,887.09,1909.93,557.66,948.06,4161.05
ventania,795.3,823.55,1569.85,509.91,743.08,2018.91
vera cruz do oeste,1068.78,884.06,844.17,532.89,1475.63,4019.73
vere,1066.68,817.45,1464.01,759.74,1130.82,6404.72
virmond,1046.58,776.33,1344.38,498.84,1067.29,6077.77
vitorino,1089.18,965.91,1315.1,585.36,1412.68,1808.54
wenceslau braz,991.59,981.91,1839.78,505.07,1027.37,4583.81
xambre,992.88,733.58,1886.43,618.66,1909.55,2537.44
