city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
frei miguelinho,42.45,31.52,17.83,6.64,41.4,28.1,73.92,64.09
iati,50.53,39.37,30.61,12.72,55.97,43.13,76.86,72.52
iguaraci,34.98,28.45,15.58,6.12,36.37,28.31,63.5,57.04
inaja,45.11,35.98,29.56,23.84,48.89,37.84,69.27,61.67
itapetim,30.09,25.68,11.68,4.43,31.6,25.39,54.81,50.59
itaquitinga,34.64,27.72,17.78,7.4,37.99,29.08,68.9,63.45
jaqueira,39.94,32.67,17.21,6.9,47.89,38.38,71.51,69.02
jatauba,46.71,34.29,27.81,9.14,49.42,37.47,69.21,63.9
jatoba,24.09,22.66,9.95,5.38,25.58,22.25,58.5,55.54
joaquim nabuco,38.06,29.65,21.17,7.68,41.71,32.97,71.42,65.49
jucati,43.72,32.67,24.22,8.07,45.07,34.02,75.12,67.41
jupi,40.46,32.19,18.38,7.72,42.08,33.76,72.94,66.73
jurema,49.52,37.95,25.93,8.69,53.24,39.92,77.02,69.49
lagoa do carro,30.44,23.66,11.27,5.8,34.07,23.46,67.98,57.43
lagoa do ouro,44.89,40.13,26.27,13.78,47.99,42.18,74.35,72.19
lagoa dos gatos,51.86,39.06,31.44,11.16,55.06,42.21,74.99,70.22
machados,40.4,29.35,19.95,9.54,41.89,28.35,76.56,69.35
manari,57.01,39.85,39.83,12.74,62.21,47.62,80.04,75.05
maraial,42.77,35.09,22.7,9.93,49.69,40.76,72.62,69.69
mirandiba,33.44,23.67,15.1,6.96,35.6,23.9,64.96,53.46
moreilandia,34.07,25.13,10.92,5.16,38.01,24.26,70.14,60.49
oroco,34.57,23.97,16.9,6.15,39.96,25.79,72.5,60.46
paranatama,44.69,37.07,21.8,8.78,46.88,37.6,76.13,74.08
pocao,44.28,33.96,24.49,9.44,46.86,36.49,66.23,61.36
primavera,32.67,28.18,16.13,8.58,35.86,30.26,64.75,64.13
riacho das almas,44.28,34.47,24.73,9.53,45.65,35.55,71.52,64.57
saire,42.34,33.57,19.57,5.23,44.71,33.41,73.49,67.29
saloa,45.26,35.05,21.8,11.41,46.74,34.51,76.41,66.02
santa cruz,46.15,32.51,21.03,6.9,52.63,33.42,75.16,68.62
santa cruz da baixa verde,29.78,26.02,9.42,6.12,32.15,25.45,62.58,58.87
santa filomena,41.28,31.93,19.49,6.9,47.5,33.48,66.82,65.41
santa maria do cambuca,45.89,35.38,25.94,10.03,47.09,35.49,75.8,68.82
santa terezinha,33.63,24.7,13.48,5.0,37.71,24.86,63.25,56.42
sao benedito do sul,48.35,33.36,25.57,11.1,55.47,35.1,74.02,69.49
sao jose da coroa grande,33.52,23.63,21.04,9.04,36.14,25.2,59.06,48.18
sao vicente ferrer,41.77,30.69,22.19,8.03,45.69,32.62,70.84,65.33
serrita,36.53,26.25,17.52,5.98,41.7,27.84,60.56,56.27
tacaimbo,44.12,36.79,22.23,11.2,46.59,37.39,77.39,72.33
tracunhaem,35.26,25.21,14.31,5.05,39.84,24.86,76.55,67.67
triunfo,22.71,16.95,6.85,2.57,22.01,14.3,48.84,41.99
venturosa,35.43,27.6,18.27,7.71,37.84,28.37,62.72,58.06
vertentes,38.84,24.44,23.12,7.6,38.09,23.27,65.05,52.04
xexeu,43.94,33.29,24.9,9.18,49.13,37.21,73.99,70.69
de 20.001 a 50.000 ,37.36,28.13,19.51,7.73,39.89,29.16,68.08,60.57
afogados da ingazeira,29.48,23.12,11.98,4.87,30.62,22.45,59.61,51.81
agrestina,42.96,32.35,20.77,7.14,44.7,32.45,74.64,67.38
agua preta,39.6,30.66,21.87,8.13,45.01,34.42,69.5,68.25
aguas belas,51.56,40.25,34.32,16.22,54.73,43.06,75.65,70.33
alianca,36.57,27.22,18.29,7.74,40.72,27.32,70.88,62.33
altinho,43.87,34.63,20.93,8.34,45.06,34.33,71.75,65.73
