city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
cumaru,3.73,14.86,30.87,39.82,65.4,45.32
dormentes,1.16,26.63,34.44,51.44,64.4,21.93
ferreiros,35.59,46.39,35.47,42.34,28.94,11.27
frei miguelinho,-,9.57,25.71,48.41,74.29,42.03
iati,12.2,26.39,35.94,38.81,51.86,34.8
iguaraci,10.04,33.2,41.78,26.18,48.17,40.62
inaja,7.08,11.06,45.63,51.62,47.29,37.32
itapetim,22.6,48.98,31.63,18.62,45.78,32.39
itaquitinga,0.65,9.28,64.76,82.58,34.59,8.14
jaqueira,13.98,21.08,48.32,48.86,37.7,30.06
jatauba,22.86,23.29,23.23,41.59,53.91,35.12
jatoba,52.18,64.32,30.29,18.32,17.53,17.36
joaquim nabuco,20.54,38.28,48.2,43.44,31.27,18.28
jucati,9.03,34.16,35.89,19.57,55.09,46.27
jupi,16.72,20.49,34.52,49.58,48.76,29.93
jurema,48.77,59.09,13.76,13.55,37.48,27.36
